m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.1,1.11E-16,-0.113367693,0.01252128,0.012431583,0.012521568,0.012586122,0.012564283
0.11,5.55E-17,-0.12470203,0.01235798,0.012269594,0.012358281,0.012437025,0.012409935
0.12,5.55E-17,-0.136035957,0.012190296,0.012104292,0.012190607,0.012284924,0.01225198
0.13,-1.11E-16,-0.147369479,0.01201866,0.011935945,0.012018978,0.01213021,0.012090818
0.14,-5.55E-17,-0.158702605,0.011843489,0.011764816,0.011843809,0.011973255,0.011926831
0.15,0,-0.170035342,0.011665186,0.011591166,0.011665505,0.01181441,0.011760389
0.16,0,-0.181367699,0.011484145,0.011415252,0.011484459,0.011654006,0.011591843
0.17,-5.55E-17,-0.192699681,0.011300745,0.01123733,0.011301051,0.011492357,0.011421531
0.18,0,-0.204031298,0.011115356,0.011057652,0.011115649,0.011329759,0.011249778
0.19,1.11E-16,-0.215362557,0.010928333,0.010876465,0.01092861,0.011166492,0.011076894
0.2,-1.11E-16,-0.226693466,0.010740023,0.010694016,0.010740282,0.011002819,0.010903175
0.21,1.11E-16,-0.238024031,0.010550761,0.010510549,0.010550997,0.010838988,0.010728907
0.22,0,-0.249354261,0.010360869,0.010326303,0.010361081,0.010675234,0.01055436
0.23,1.11E-16,-0.260684164,0.01017066,0.010141517,0.010170845,0.010511775,0.010379795
0.24,1.11E-16,-0.272013746,0.009980436,0.009956423,0.009980591,0.010348818,0.010205458
0.25,0,-0.283343016,0.009790487,0.009771253,0.00979061,0.010186556,0.010031585
0.26,-1.11E-16,-0.294671982,0.009601091,0.009586233,0.00960118,0.010025169,0.0098584
0.27,-1.11E-16,-0.306000649,0.009412517,0.009401589,0.00941257,0.009864825,0.009686116
0.28,0,-0.317329028,0.00922502,0.009221588,0.009225036,0.009705681,0.009514933
0.29,0,-0.328657124,0.009038846,0.009025905,0.009038824,0.009547882,0.009345043
0.3,1.11E-16,-0.339984946,0.008854228,0.008831093,0.008853209,0.009391564,0.009176624
0.31,0,-0.351312501,0.008671388,0.008637426,0.008668085,0.009236849,0.009009845
0.32,-4.44E-16,-0.362639797,0.008490536,0.008445174,0.008484837,0.009083853,0.008844864
