m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.1,-7.99E-15,-0.142872682,0.00179533,0.001785696,0.001789186,0.001829487,0.001804708
0.11,1.08E-14,-0.157159832,0.00171348,0.001732863,0.001706345,0.001753195,0.00172442
0.12,6.55E-15,-0.171446962,0.001634926,0.00162193,0.001626785,0.001680321,0.001647472
0.13,9.10E-15,-0.185734072,0.001559586,0.001544842,0.001550436,0.001610729,0.001573767
0.14,2.41E-14,-0.200021163,0.001487378,0.00147086,0.001477224,0.001544289,0.001503209
0.15,2.80E-14,-0.214308234,0.001418218,0.001399918,0.001407077,0.001480872,0.001435702
0.16,2.26E-14,-0.228595287,0.001352024,0.001331943,0.00133992,0.001420356,0.001371151
0.17,-2.73E-14,-0.242882321,0.001288712,0.001266865,0.001275677,0.001362618,0.001309462
0.18,2.92E-14,-0.257169337,0.001228196,0.001204613,0.001214271,0.001307542,0.001250539
0.19,4.06E-14,-0.271456336,0.001170394,0.001145114,0.001155625,0.001255014,0.001194292
0.2,4.42E-14,-0.285743317,0.001115221,0.001088293,0.00109966,0.001204926,0.001140627
0.21,4.84E-14,-0.300030281,0.001062594,0.001034078,0.001046299,0.001157169,0.001089454
0.22,-4.25E-14,-0.314317227,0.00101243,0.000982393,0.000995463,0.001111643,0.001040684
0.23,4.77E-14,-0.328604158,0.000964646,0.000933165,0.000947072,0.001068248,0.000994229
0.24,4.73E-14,-0.342891072,0.000919161,0.00088632,0.000901049,0.001026889,0.000950003
0.25,-4.75E-14,-0.357177971,0.000875894,0.000841788,0.000857314,0.000987474,0.000907922
0.26,5.44E-14,-0.371464854,0.000834765,0.000802091,0.00081579,0.000949914,0.000867901
0.27,4.60E-14,-0.385751722,0.000795695,0.000764396,0.000776523,0.000914125,0.000829861
0.28,4.75E-14,-0.400038575,0.000758606,0.00072863,0.000740687,0.000880024,0.000793721
0.29,3.71E-14,-0.414325414,0.000723422,0.000694721,0.000706734,0.000847534,0.000759405
0.3,2.84E-14,-0.428612238,0.000690068,0.000662597,0.00067458,0.000816579,0.000726836
0.31,2.55E-14,-0.442899049,0.000658471,0.00063219,0.000644145,0.000787087,0.000695941
0.32,2.62E-14,-0.457185846,0.000628558,0.00060343,0.00061535,0.000758989,0.000666648
0.33,1.38E-14,-0.47147263,0.000600258,0.00057625,0.000588119,0.000732218,0.000638888
0.34,2.26E-14,-0.478851298,0.000577338,0.000553389,0.000564213,0.000706711,0.000616364
0.35,1.53E-14,-0.48376837,0.000557262,0.0005329,0.00054237,0.000682407,0.000596608
0.36,-2.29E-14,-0.489566496,0.000538024,0.000513275,0.000521591,0.00065925,0.000577649
0.37,2.69E-14,-0.49606241,0.000519594,0.000494486,0.000501827,0.000637182,0.000559461
0.38,-4.26E-14,-0.503120376,0.000501947,0.000476509,0.000483034,0.000616152,0.000542016
0.39,5.06E-14,-0.510637722,0.000485056,0.000459317,0.00046517,0.000596108,0.000525287
0.4,5.60E-14,-0.518535346,0.000468895,0.000442886,0.000448192,0.000577003,0.000509249
0.41,-6.77E-14,-0.526751321,0.000453438,0.000427192,0.00043206,0.000558791,0.000493875
0.42,-7.68E-14,-0.535236475,0.000438661,0.00041221,0.000416736,0.000541428,0.000479142
0.43,8.04E-14,-0.543951264,0.000424538,0.000397917,0.000402183,0.000524872,0.000465027
0.44,0.028956492,-0.532301719,0.000410467,0.000384289,0.000388366,0.000509083,0.000451505
0.45,0.077409607,-0.507041092,0.000396697,0.000371305,0.000375249,0.000494024,0.000438554
0.46,0.128238114,-0.480264054,0.000383569,0.000358941,0.000362801,0.000479659,0.000426154
0.47,0.181538698,-0.451922542,0.000371062,0.000347177,0.000352215,0.000465953,0.000414282
0.48,0.237418687,-0.421961588,0.000359158,0.000335991,0.000342367,0.000452874,0.000402918
0.49,0.295996768,-0.390318976,0.000347836,0.000325362,0.00033302,0.000440391,0.000392043
0.5,0.357240246,-0.35700255,0.000337089,0.000315293,0.000324165,0.000428474,0.000381646
0.51,0.338439274,-0.347792318,0.000332476,0.000311558,0.000319506,0.000417095,0.000373339
0.52,0.321997147,-0.337300594,0.000327972,0.000307876,0.000314976,0.000406228,0.00036531
0.53,0.307882778,-0.325497485,0.000323574,0.000304247,0.00031057,0.000395848,0.00035755
0.54,0.296076124,-0.312346566,0.00031928,0.00030067,0.000306281,0.00038593,0.00035005
0.55,0.286568137,-0.297804529,0.000315087,0.000297146,0.000302105,0.000376451,0.000342803
0.56,0.279360846,-0.281820727,0.000310993,0.000293674,0.000298037,0.000367391,0.000335801
0.57,0.274467574,-0.264336626,0.000306994,0.000290254,0.000294074,0.000358728,0.000329035
0.58,0.271913309,-0.245285152,0.000303089,0.000286884,0.000290211,0.000350444,0.000322498
0.59,0.271735218,-0.224589903,0.000299275,0.000283566,0.000286443,0.000342519,0.000316183
0.6,0.273983338,-0.202164221,0.00029555,0.000280299,0.000282769,0.000334936,0.000310083
