m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.1,0,-0.11325234,0.047704978,0.047407552,0.047616559,0.048261801,0.047938301
0.11,0,-0.124573762,0.045875463,0.045526283,0.045772528,0.046528315,0.046149967
0.12,-5.55E-17,-0.135894538,0.044105442,0.043702258,0.043987438,0.044858004,0.044422959
0.13,5.55E-17,-0.147214682,0.042393806,0.041934777,0.042260292,0.043248981,0.042755853
0.14,-5.55E-17,-0.158534205,0.040739428,0.040223116,0.040590073,0.041699388,0.041147225
0.15,5.55E-17,-0.169853118,0.039141173,0.038566528,0.038975751,0.040207394,0.039595653
0.16,-5.55E-17,-0.181171434,0.037597893,0.036964241,0.037416277,0.038771199,0.038099715
0.17,-5.55E-17,-0.192489165,0.03610843,0.035415461,0.035910593,0.037389037,0.036657997
0.18,1.67E-16,-0.203806323,0.03467162,0.033919374,0.034457628,0.036059173,0.035269089
0.19,1.11E-16,-0.21512292,0.033286292,0.032475145,0.033056301,0.034779904,0.033931588
0.2,0,-0.226438967,0.03195127,0.03108192,0.031705521,0.033549565,0.032644102
0.21,1.11E-16,-0.237754477,0.030665376,0.029738827,0.030404192,0.032366524,0.03140525
0.22,0,-0.249069462,0.029427431,0.028444977,0.02915121,0.031229184,0.030213661
0.23,0,-0.260383933,0.028236254,0.027199467,0.027945468,0.030135986,0.02906798
0.24,1.11E-16,-0.271697903,0.027090667,0.026001377,0.026785855,0.029085405,0.027966864
0.25,1.11E-16,-0.283011384,0.025989495,0.024849774,0.02567126,0.028075957,0.026908988
0.26,1.11E-16,-0.294324387,0.024931566,0.023743713,0.024600568,0.02710619,0.025893043
0.27,3.33E-16,-0.305636924,0.023915714,0.022682237,0.023572668,0.026174692,0.024917737
0.28,2.22E-16,-0.316949008,0.022940778,0.021664379,0.022586449,0.025280087,0.023981799
0.29,1.11E-16,-0.32826065,0.022005608,0.020689162,0.021640804,0.024421036,0.023083975
0.3,2.22E-16,-0.339571862,0.02110906,0.019755603,0.020734629,0.023596237,0.022223032
0.31,1.11E-16,-0.350882657,0.020250001,0.018862709,0.019866827,0.022804424,0.021397761
0.32,0,-0.362193046,0.019427308,0.018009484,0.019036305,0.022044369,0.02060697
0.33,2.22E-16,-0.37350304,0.018639871,0.017194923,0.018241979,0.021314878,0.019849494
0.34,-2.22E-16,-0.384812653,0.017886593,0.016519503,0.017482774,0.020614794,0.019124187
0.35,1.11E-16,-0.396121896,0.01716639,0.01590764,0.016757621,0.019942994,0.018429929
0.36,1.11E-16,-0.40743078,0.016478191,0.015319744,0.016065465,0.019298392,0.017765622
0.37,0.007901233,-0.411631788,0.015813585,0.014755225,0.015405259,0.018679934,0.017130193
0.38,0.051833014,-0.385988281,0.015147067,0.014213495,0.01477597,0.0180866,0.016522594
0.39,0.097204935,-0.359504251,0.014511185,0.013693972,0.014176574,0.017517405,0.015941799
0.4,0.144089001,-0.332137672,0.013905076,0.013196074,0.013606065,0.016971395,0.01538681
0.41,0.192562101,-0.303843667,0.01332788,0.012719222,0.013063446,0.016447648,0.01485665
0.42,0.242706428,-0.274574267,0.01277874,0.012262842,0.012547737,0.015945276,0.014350371
0.43,0.294609941,-0.244278136,0.012256802,0.011826363,0.012057974,0.015463417,0.013867048
0.44,0.348366881,-0.212900269,0.011761214,0.011409218,0.011593206,0.015001244,0.01340578
0.45,0.404078344,-0.180381663,0.011291132,0.011010846,0.0111525,0.014557956,0.012965692
0.46,0.461852916,-0.146658943,0.010845715,0.010630688,0.010734939,0.014132781,0.012545934
0.47,0.521807376,-0.111663952,0.010424128,0.010268192,0.010339622,0.013724978,0.012145681
0.48,0.584067487,-0.07532329,0.010025544,0.00992281,0.009965666,0.01333383,0.011764132
0.49,0.648768875,-0.0375578,0.00964914,0.009594001,0.009612207,0.012958648,0.011400509
0.5,0.357531305,0.0003613,0.011060636,0.00929533,0.009296918,0.012598769,0.011060636
0.51,0.675480063,-0.010740153,0.009175009,0.009166543,0.009169617,0.012253554,0.010829668
0.52,0.637790191,-0.021496174,0.009053168,0.009039591,0.009045377,0.011922391,0.010605383
0.53,0.601523894,-0.031844992,0.008932995,0.008914465,0.008922981,0.011604688,0.010387603
0.54,0.566602163,-0.041809152,0.008814481,0.008791154,0.008802415,0.01129988,0.010176155
0.55,0.532951741,-0.051409549,0.008697618,0.008669649,0.008683667,0.011007422,0.009970867
0.56,0.500504615,-0.06066558,0.008582398,0.00854994,0.008566722,0.010726792,0.009771572
0.57,0.46919755,-0.069595274,0.008468811,0.008432018,0.008451567,0.010457487,0.009578108
