m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.1,0,-0.113109465,0.001837295,0.001824662,0.00183398,0.001860191,0.001847778
0.11,5.55E-17,-0.124420242,0.001762329,0.001747472,0.00175843,0.00178912,0.001774639
0.12,0,-0.135730992,0.001689957,0.001672782,0.001685449,0.001720775,0.001704167
0.13,1.11E-16,-0.147041714,0.001620126,0.001600558,0.00161499,0.001655072,0.001636296
0.14,0,-0.158352409,0.001552783,0.001530768,0.001547005,0.001591926,0.001570959
0.15,0,-0.169663077,0.001487875,0.001463375,0.001481445,0.001531254,0.001508088
0.16,-5.55E-17,-0.18097372,0.001425348,0.001398343,0.001418261,0.001472976,0.001447618
0.17,5.55E-17,-0.192284338,0.001365147,0.001335634,0.001357402,0.001417012,0.001389481
0.18,-2.22E-16,-0.203594931,0.001307219,0.00127521,0.00129882,0.001363284,0.001333613
0.19,1.11E-16,-0.2149055,0.001251507,0.00121703,0.001242462,0.001311714,0.001279948
0.2,1.11E-16,-0.226216046,0.001197958,0.001161055,0.001188278,0.001262229,0.00122842
0.21,2.22E-16,-0.237526569,0.001146516,0.001107244,0.001136217,0.001214754,0.001178967
0.22,-1.11E-16,-0.248837071,0.001097126,0.001055553,0.001086225,0.001169218,0.001131524
0.23,0,-0.260147551,0.001049733,0.001005941,0.001038253,0.001125552,0.001086028
0.24,-1.11E-16,-0.27145801,0.001004283,0.000958364,0.000992248,0.001083687,0.001042418
0.25,-1.11E-16,-0.282768449,0.00096072,0.000912778,0.000948157,0.001043557,0.001000632
0.26,0,-0.294078868,0.000918991,0.000869138,0.000905931,0.001005096,0.000960611
0.27,-1.11E-16,-0.305389268,0.000879042,0.000827399,0.000865516,0.000968244,0.000922296
0.28,0,-0.316699651,0.000840819,0.000787516,0.000826861,0.000932937,0.000885627
0.29,0,-0.328010015,0.000804269,0.000749442,0.000789916,0.000899117,0.000850548
0.3,-1.11E-16,-0.339320362,0.00076934,0.000713133,0.00075463,0.000866726,0.000817004
0.31,0,-0.350630693,0.000735979,0.00067854,0.000720951,0.000835709,0.000784938
0.32,3.33E-16,-0.361941008,0.000704137,0.000647108,0.00068883,0.000806011,0.000754298
0.33,0.042088524,-0.33781833,0.000672042,0.000621293,0.000658218,0.000777579,0.000725031
0.34,0.087457603,-0.311352911,0.000641357,0.000596543,0.000629064,0.000750363,0.000697085
0.35,0.134573095,-0.283868751,0.00061211,0.000572832,0.000601322,0.000724314,0.000670411
0.36,0.183537819,-0.255305873,0.00058426,0.000550131,0.000574942,0.000699384,0.000644959
0.37,0.234462824,-0.225599496,0.000557766,0.000528413,0.000549877,0.000675527,0.000620681
0.38,0.287468235,-0.19467955,0.000532589,0.000507652,0.000526081,0.000652699,0.000597532
0.39,0.342684195,-0.162470118,0.000508688,0.00048782,0.000503508,0.000630858,0.000575466
