m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.1,0,-0.113106098,0.000203537,0.000197998,0.000203537,0.000204446,0.000204241
0.11,-5.55E-17,-0.124416733,0.000204425,0.000198578,0.000204425,0.000205542,0.000205283
0.12,5.55E-17,-0.135727372,0.000205245,0.000199147,0.000205245,0.000206592,0.000206271
0.13,-5.55E-17,-0.147038015,0.000205996,0.000199695,0.000205996,0.000207596,0.000207205
0.14,5.55E-17,-0.158348662,0.000206679,0.000200221,0.000206679,0.000208556,0.000208086
0.15,-1.11E-16,-0.169659312,0.000207294,0.000200727,0.000207294,0.000209471,0.000208913
0.16,-1.67E-16,-0.180969966,0.000207842,0.000201211,0.000207842,0.000210342,0.000209687
0.17,1.11E-16,-0.192280624,0.000208324,0.000201674,0.000208323,0.000211169,0.000210407
0.18,-1.67E-16,-0.203591285,0.00020874,0.000202116,0.00020874,0.000211954,0.000211074
0.19,-1.11E-16,-0.214901948,0.000209092,0.000202536,0.000209092,0.000212696,0.000211689
0.2,0,-0.226212615,0.000209381,0.000202935,0.000209381,0.000213397,0.000212252
0.21,0,-0.237523285,0.000209608,0.000203313,0.000209608,0.000214056,0.000212763
0.22,1.11E-16,-0.248833957,0.000209775,0.000203669,0.000209775,0.000214676,0.000213224
0.23,-4.44E-16,-0.260144633,0.000209883,0.000204003,0.000209883,0.000215255,0.000213633
0.24,1.11E-16,-0.27145531,0.000209934,0.000204316,0.000209934,0.000215796,0.000213994
0.25,0,-0.28276599,0.000209929,0.000204607,0.000209929,0.000216298,0.000214305
0.26,-1.11E-16,-0.294076672,0.000209871,0.000204877,0.000209871,0.000216763,0.000214567
0.27,0,-0.305387356,0.000209761,0.000205125,0.000209761,0.000217192,0.000214783
0.28,1.11E-16,-0.316698042,0.000209601,0.000205351,0.000209601,0.000217584,0.000214952
0.29,-1.11E-16,-0.32800873,0.000209395,0.000205554,0.000209394,0.000217942,0.000215075
0.3,-1.11E-16,-0.33931942,0.000209142,0.000205737,0.000209142,0.000218265,0.000215154
0.31,-1.11E-16,-0.350630111,0.000208847,0.000205897,0.000208847,0.000218555,0.00021519
0.32,1.11E-16,-0.361940803,0.000208511,0.000206034,0.000208511,0.000218812,0.000215183
0.33,0,-0.373251497,0.000208136,0.00020615,0.000208136,0.000219038,0.000215134
0.34,1.11E-16,-0.384562192,0.000207726,0.000206244,0.000207726,0.000219233,0.000215045
0.35,1.11E-16,-0.395872888,0.000207282,0.000206315,0.000207282,0.000219398,0.000214918
0.36,1.11E-16,-0.407183584,0.000206808,0.000206364,0.000206808,0.000219533,0.000214752
0.37,0.00696229,-0.412570731,0.000206391,0.000206391,0.000206391,0.00021964,0.00021455
0.38,0.050857588,-0.386963708,0.000206395,0.000206395,0.000206395,0.000219719,0.000214313
0.39,0.096192066,-0.360517119,0.000206376,0.000206376,0.000206376,0.000219772,0.000214042
0.4,0.143037685,-0.333188988,0.000206335,0.000206335,0.000206335,0.000219799,0.000213738
0.41,0.19147128,-0.304934489,0.000206271,0.000206271,0.000206271,0.0002198,0.000213403
0.42,0.241574989,-0.275705707,0.000206185,0.000206185,0.000206185,0.000219778,0.000213038
0.43,0.293436712,-0.245451364,0.000206076,0.000206076,0.000206076,0.000219731,0.000212644
0.44,0.34715063,-0.21411652,0.000205943,0.000205943,0.000205943,0.000219662,0.000212224
0.45,0.40281777,-0.181642237,0.000205788,0.000205788,0.000205788,0.000219571,0.000211778
0.46,0.460546645,-0.147965214,0.00020561,0.00020561,0.00020561,0.000219459,0.000211308
0.47,0.520453957,-0.113017372,0.000205409,0.000205409,0.000205409,0.000219326,0.000210816
0.48,0.582665385,-0.076725392,0.000205184,0.000205184,0.000205184,0.000219174,0.000210303
0.49,0.647316465,-0.03901021,0.000204936,0.000204936,0.000204936,0.000219003,0.00020977
0.5,0.35719921,2.92E-05,0.000209223,0.000204667,0.000204667,0.000218813,0.000209223
0.51,0.675034834,-0.011185381,0.000204757,0.000204757,0.000204757,0.000218606,0.000209312
0.52,0.63732902,-0.021957345,0.000204839,0.000204839,0.000204839,0.000218382,0.000209385
0.53,0.601046189,-0.032322697,0.000204912,0.000204912,0.000204912,0.000218141,0.000209444
0.54,0.566107295,-0.042304019,0.000204976,0.000204976,0.000204976,0.000217885,0.000209488
0.55,0.532439041,-0.051922249,0.000205032,0.000205032,0.000205032,0.000217615,0.000209516
0.56,0.499973365,-0.061196831,0.000205078,0.000205078,0.000205078,0.000217329,0.00020953
0.57,0.468646983,-0.070145841,0.000205116,0.000205115,0.000205115,0.000217031,0.000209529
0.58,0.438400976,-0.078786109,0.000205144,0.000205144,0.000205144,0.000216719,0.000209513
0.59,0.409180421,-0.087133323,0.000205163,0.000205163,0.000205163,0.000216394,0.000209484
0.6,0.380934057,-0.095202125,0.000205174,0.000205174,0.000205174,0.000216058,0.000209439
0.61,0.353613987,-0.103006192,0.000205175,0.000205175,0.000205175,0.000215711,0.000209381
0.62,0.327175402,-0.110558322,0.000205167,0.000205167,0.000205167,0.000215352,0.000209309
0.63,0.301576343,-0.117870496,0.00020515,0.00020515,0.00020515,0.000214983,0.000209223
0.64,0.276777474,-0.124953946,0.000205124,0.000205123,0.000205123,0.000214605,0.000209123
0.65,0.252741882,-0.131819209,0.000205088,0.000205088,0.000205088,0.000214217,0.000209009
0.66,0.229434891,-0.138476182,0.000205043,0.000205043,0.000205043,0.00021382,0.000208883
0.67,0.206823901,-0.144934171,0.000204988,0.000204988,0.000204988,0.000213415,0.000208742
0.68,0.18487823,-0.15120193,0.000204924,0.000204924,0.000204924,0.000213002,0.000208589
0.69,0.163568978,-0.157287701,0.000204851,0.000204851,0.000204851,0.000212581,0.000208423
0.7,0.142868902,-0.163199253,0.000204768,0.000204768,0.000204768,0.000212153,0.000208244
0.71,0.122752295,-0.168943914,0.000204675,0.000204675,0.000204675,0.000211719,0.000208052
0.72,0.103194885,-0.174528599,0.000204573,0.000204573,0.000204573,0.000211278,0.000207847
0.73,0.084173735,-0.179959838,0.000204461,0.000204461,0.000204461,0.000210831,0.00020763
0.74,0.065667155,-0.185243802,0.000204339,0.000204339,0.000204339,0.000210379,0.000207401
0.75,0.04765462,-0.190386324,0.000204208,0.000204208,0.000204208,0.000209922,0.000207159
0.76,0.030116692,-0.195392924,0.000204066,0.000204066,0.000204066,0.000209459,0.000206906
0.77,0.013034958,-0.200268819,0.000203915,0.000203915,0.000203915,0.000208992,0.00020664
0.78,-0.002944622,-0.160045129,0.000206363,0.000203754,0.000203778,0.000208521,0.000206363
0.79,-0.015802857,-0.165759965,0.000206074,0.000203582,0.000203713,0.000208045,0.000206074
0.8,-0.028661092,-0.171474799,0.000205774,0.000203401,0.000203627,0.000207566,0.000205774
