m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.1,0,-0.113106098,0.000209428,0.000197998,0.000209428,0.000210174,0.000210036
0.11,-5.55E-17,-0.124416733,0.00021091,0.000198632,0.00021091,0.000211837,0.00021166
0.12,5.55E-17,-0.135727372,0.00021232,0.000199254,0.00021232,0.000213448,0.000213227
0.13,-5.55E-17,-0.147038015,0.000213654,0.000199862,0.000213654,0.000215007,0.000214736
0.14,5.55E-17,-0.158348662,0.000214914,0.000200457,0.000214914,0.000216514,0.000216185
0.15,-1.11E-16,-0.169659312,0.000216098,0.000201039,0.000216098,0.000217967,0.000217573
0.16,-1.67E-16,-0.180969966,0.000217207,0.000201607,0.000217206,0.000219368,0.000218901
0.17,1.11E-16,-0.192280624,0.000218239,0.000202163,0.000218238,0.000220715,0.000220166
0.18,-1.67E-16,-0.203591285,0.000219195,0.000202705,0.000219194,0.000222008,0.00022137
0.19,-1.11E-16,-0.214901948,0.000220075,0.000203234,0.000220075,0.000223247,0.00022251
0.2,0,-0.226212615,0.00022088,0.00020375,0.000220879,0.000224431,0.000223588
0.21,0,-0.237523285,0.00022161,0.000204253,0.000221609,0.000225562,0.000224601
0.22,1.11E-16,-0.248833957,0.000222266,0.000204742,0.000222266,0.000226638,0.000225551
0.23,-4.44E-16,-0.260144633,0.000222849,0.000205217,0.000222849,0.000227661,0.000226437
0.24,1.11E-16,-0.27145531,0.000223361,0.000205679,0.00022336,0.000228629,0.000227259
0.25,0,-0.28276599,0.000223802,0.000206128,0.000223801,0.000229544,0.000228017
0.26,-1.11E-16,-0.294076672,0.000224174,0.000206563,0.000224174,0.000230405,0.000228711
0.27,0,-0.305387356,0.000224479,0.000206985,0.000224479,0.000231214,0.000229341
0.28,1.11E-16,-0.316698042,0.000224718,0.000207393,0.000224718,0.000231969,0.000229909
0.29,-1.11E-16,-0.32800873,0.000224894,0.000207787,0.000224894,0.000232672,0.000230413
0.3,-1.11E-16,-0.33931942,0.000225009,0.000208168,0.000225009,0.000233324,0.000230854
0.31,-1.11E-16,-0.350630111,0.000225065,0.000208535,0.000225065,0.000233924,0.000231234
0.32,1.11E-16,-0.361940803,0.000225064,0.000208888,0.000225063,0.000234473,0.000231552
0.33,0,-0.373251497,0.000225008,0.000209227,0.000225008,0.000234972,0.000231809
0.34,1.11E-16,-0.384562192,0.000224901,0.000209552,0.000224901,0.000235422,0.000232006
0.35,1.11E-16,-0.395872888,0.000224745,0.000209864,0.000224745,0.000235822,0.000232144
0.36,1.11E-16,-0.407183584,0.000224543,0.000210161,0.000224543,0.000236174,0.000232224
0.37,0.00696229,-0.412570731,0.000224415,0.000210445,0.000224368,0.000236479,0.000232246
0.38,0.050857588,-0.386963708,0.00022486,0.000210714,0.000224523,0.000236737,0.000232211
0.39,0.096192066,-0.360517119,0.000225279,0.00021097,0.000224649,0.000236949,0.000232121
0.4,0.143037685,-0.333188988,0.000225672,0.000211211,0.000224747,0.000237116,0.000231977
0.41,0.19147128,-0.304934489,0.000226037,0.000211438,0.000224817,0.000237238,0.00023178
0.42,0.241574989,-0.275705707,0.000226376,0.000211651,0.000224861,0.000237317,0.00023153
0.43,0.293436712,-0.245451364,0.000226688,0.000211849,0.000224879,0.000237353,0.00023123
0.44,0.34715063,-0.21411652,0.000226973,0.000212033,0.00022487,0.000237347,0.000230881
0.45,0.40281777,-0.181642237,0.00022723,0.000212203,0.000224837,0.000237301,0.000230483
0.46,0.460546645,-0.147965214,0.000227459,0.000212358,0.00022478,0.000237214,0.000230039
0.47,0.520453957,-0.113017372,0.000227661,0.000212499,0.000224698,0.000237088,0.00022955
0.48,0.582665385,-0.076725392,0.000227834,0.000212626,0.000224594,0.000236924,0.000229017
0.49,0.647316465,-0.03901021,0.000227979,0.000212737,0.000224467,0.000236723,0.000228442
0.5,0.35719921,2.92E-05,0.00022783,0.000212834,0.000224317,0.000236485,0.00022783
0.51,0.675034834,-0.011185381,0.000227634,0.000212917,0.000224146,0.000236212,0.000227818
0.52,0.63732902,-0.021957345,0.000227167,0.000212984,0.000223954,0.000235904,0.000227774
0.53,0.601046189,-0.032322697,0.000226694,0.000213037,0.000223741,0.000235563,0.0002277
0.54,0.566107295,-0.042304019,0.000226216,0.000213075,0.000223508,0.000235189,0.000227595
0.55,0.532439041,-0.051922249,0.000225732,0.000213098,0.000223255,0.000234784,0.00022746
0.56,0.499973365,-0.061196831,0.000225243,0.000213106,0.000222983,0.000234348,0.000227295
0.57,0.468646983,-0.070145841,0.000224748,0.000213099,0.000222693,0.000233882,0.0002271
0.58,0.438400976,-0.078786109,0.000224247,0.000213077,0.000222384,0.000233388,0.000226876
0.59,0.409180421,-0.087133323,0.00022374,0.000213039,0.000222057,0.000232866,0.000226624
0.6,0.380934057,-0.095202125,0.000223228,0.000212987,0.000221713,0.000232316,0.000226344
0.61,0.353613987,-0.103006192,0.000222709,0.000212919,0.000221352,0.000231741,0.000226035
0.62,0.327175402,-0.110558322,0.000222185,0.000212836,0.000220974,0.000231141,0.0002257
0.63,0.301576343,-0.117870496,0.000221655,0.000212737,0.00022058,0.000230517,0.000225337
0.64,0.276777474,-0.124953946,0.000221119,0.000212623,0.000220171,0.000229869,0.000224948
0.65,0.252741882,-0.131819209,0.000220578,0.000212493,0.000219746,0.000229199,0.000224533
0.66,0.229434891,-0.138476182,0.00022003,0.000212348,0.000219306,0.000228508,0.000224092
0.67,0.206823901,-0.144934171,0.000219476,0.000212187,0.000218851,0.000227796,0.000223627
0.68,0.18487823,-0.15120193,0.000218916,0.00021201,0.000218382,0.000227064,0.000223136
0.69,0.163568978,-0.157287701,0.00021835,0.000211817,0.000217899,0.000226314,0.000222622
0.7,0.142868902,-0.163199253,0.000217778,0.000211609,0.000217403,0.000225545,0.000222084
0.71,0.122752295,-0.168943914,0.000217199,0.000211384,0.000216893,0.000224759,0.000221523
0.72,0.103194885,-0.174528599,0.000216615,0.000211144,0.00021637,0.000223957,0.000220939
0.73,0.084173735,-0.179959838,0.000216024,0.000210887,0.000215835,0.000223139,0.000220333
0.74,0.065667155,-0.185243802,0.000215427,0.000210614,0.000215287,0.000222306,0.000219706
0.75,0.04765462,-0.190386324,0.000214824,0.000210325,0.000214727,0.000221459,0.000219057
0.76,0.030116692,-0.195392924,0.000214214,0.000210019,0.000214156,0.000220599,0.000218388
0.77,0.013034958,-0.200268819,0.000213598,0.000209697,0.000213573,0.000219726,0.000217699
0.78,-0.002944622,-0.160045129,0.00021699,0.000209359,0.000213036,0.000218841,0.00021699
0.79,-0.015802857,-0.165759965,0.000216262,0.000209004,0.000212672,0.000217945,0.000216262
0.8,-0.028661092,-0.171474799,0.000215516,0.000208632,0.000212273,0.000217038,0.000215516
