m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.1,-5.55E-17,-0.119361116,0.001857595,0.001845961,0.001854705,0.001881228,0.001866763
0.11,-5.55E-17,-0.131297065,0.001784017,0.001770326,0.001780616,0.001811688,0.001794792
0.12,0,-0.143232988,0.00171293,0.001697093,0.001708994,0.001744783,0.001725377
0.13,-1.67E-16,-0.155168883,0.001644283,0.00162623,0.001639796,0.001680428,0.001658459
0.14,1.11E-16,-0.167104751,0.001578028,0.001557705,0.001572976,0.001618544,0.001593976
0.15,-5.55E-17,-0.179040594,0.001514115,0.001491483,0.001508489,0.001559049,0.001531867
0.16,-2.78E-16,-0.190976411,0.001452494,0.001427531,0.001446289,0.001501867,0.00147207
0.17,5.55E-17,-0.202912203,0.001393113,0.001365813,0.001386327,0.00144692,0.001414526
0.18,0,-0.214847971,0.001335923,0.001306293,0.001328558,0.001394132,0.001359172
0.19,-1.11E-16,-0.226783714,0.001280871,0.001248933,0.001272934,0.001343431,0.00130595
0.2,0,-0.238719434,0.001227906,0.001193696,0.001219406,0.001294744,0.0012548
0.21,0,-0.250655131,0.001176977,0.001140543,0.001167926,0.001248001,0.001205661
0.22,0,-0.262590806,0.001128033,0.001089434,0.001118445,0.001203132,0.001158476
0.23,0,-0.274526458,0.001081021,0.001040328,0.001070915,0.001160071,0.001113186
0.24,1.11E-16,-0.286462089,0.001035891,0.000993187,0.001025287,0.001118753,0.001069733
0.25,0,-0.298397699,0.00099259,0.000947967,0.000981513,0.001079113,0.001028062
0.26,-1.11E-16,-0.310333288,0.000951069,0.000904627,0.000939543,0.001041089,0.000988115
0.27,0,-0.322268857,0.000911276,0.000863125,0.000899329,0.001004622,0.000949839
0.28,-2.22E-16,-0.334204407,0.000873161,0.000823418,0.000860822,0.000969652,0.000913177
0.29,-1.11E-16,-0.346139937,0.000836673,0.000785463,0.000823974,0.000936123,0.000878078
0.3,-1.11E-16,-0.358075449,0.000801764,0.000749217,0.000788737,0.000903979,0.000844488
0.31,1.11E-16,-0.370010943,0.000768384,0.000714635,0.000755063,0.000873166,0.000812356
0.32,-2.22E-16,-0.381946419,0.000736484,0.000683197,0.000722905,0.000843633,0.000781631
0.33,-3.33E-16,-0.393881878,0.000706017,0.000657418,0.000692215,0.000815329,0.000752263
0.34,-2.22E-16,-0.40581732,0.000676935,0.000632658,0.000662948,0.000788206,0.000724204
0.35,0.004010243,-0.380634377,0.000649044,0.000608893,0.000635056,0.000762216,0.000697407
0.36,0.04883188,-0.352984374,0.000621012,0.000586096,0.000608494,0.000737313,0.000671824
0.37,0.095076412,-0.324456609,0.000594297,0.000564243,0.000583217,0.000713453,0.000647411
0.38,0.142812689,-0.295008607,0.000568859,0.000543308,0.00055918,0.000690595,0.000624122
0.39,0.192114075,-0.264595111,0.000544663,0.000523265,0.00053634,0.000668696,0.000601915
0.4,0.243058826,-0.233167847,0.000521669,0.000504091,0.000514654,0.000647718,0.000580748
0.41,0.295730502,-0.200675266,0.000499839,0.000485759,0.000494077,0.000627621,0.000560579
0.42,0.350218428,-0.167062268,0.000479137,0.000468247,0.00047457,0.000608369,0.000541369
0.43,0.406618196,-0.132269881,0.000459525,0.000451528,0.00045609,0.000589926,0.000523078
0.44,0.465032225,-0.096234925,0.000440965,0.000435579,0.000438596,0.000572259,0.000505669
0.45,0.525570384,-0.058889623,0.000423421,0.000420375,0.00042205,0.000555334,0.000489105
0.46,0.588350681,-0.020161178,0.000406855,0.000405894,0.000406413,0.00053912,0.000473351
0.47,0.338776792,0.003036988,0.000460672,0.00039344,0.000394053,0.000523585,0.000460672
0.48,0.35206363,0.009180426,0.000450758,0.000382809,0.000384614,0.000508702,0.000450758
0.49,0.36535046,0.015323856,0.000441131,0.000372556,0.000375485,0.000494442,0.000441131
0.5,0.378637285,0.021467281,0.000431784,0.000362683,0.00036667,0.000480777,0.000431784
0.51,0.391924103,0.027610699,0.00042271,0.000357604,0.000360782,0.000467683,0.00042271
0.52,0.405210915,0.033754111,0.0004139,0.000352599,0.000355081,0.000455133,0.0004139
0.53,0.418497722,0.039897517,0.000405349,0.000347668,0.000349557,0.000443105,0.000405349
0.54,0.431784522,0.046040918,0.000397048,0.000342811,0.000344199,0.000431575,0.000397048
0.55,0.445071318,0.052184313,0.000388991,0.000338027,0.000338997,0.000420522,0.000388991
0.56,0.554529492,-0.006640704,0.000334418,0.000333316,0.000334366,0.000409925,0.000381172
0.57,0.525468674,-0.01332415,0.000329941,0.000328676,0.000329838,0.000399763,0.000373584
0.58,0.497596113,-0.019590972,0.00032553,0.000324109,0.000325381,0.000390017,0.00036622
0.59,0.47086478,-0.025448965,0.000321184,0.000319613,0.000320996,0.000380669,0.000359074
