m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.1,0,-0.148229808,0.001815346,0.001799832,0.001810235,0.001840399,0.001824979
0.11,0,-0.163052599,0.001739361,0.001721158,0.001733365,0.001768647,0.001750676
0.12,0,-0.177875357,0.001666145,0.001645154,0.00165923,0.001699802,0.001679211
0.13,-1.11E-16,-0.192698083,0.001595635,0.001571781,0.001587777,0.001633765,0.001610509
0.14,-1.11E-16,-0.207520779,0.001527768,0.001501002,0.001518952,0.00157044,0.001544496
0.15,-1.11E-16,-0.222343444,0.001462483,0.001432777,0.0014527,0.001509732,0.001481096
0.16,-1.11E-16,-0.23716608,0.001399717,0.001367066,0.001388966,0.001451549,0.001420236
0.17,3.33E-16,-0.251988686,0.001339405,0.001303826,0.001327692,0.001395801,0.001361843
0.18,1.11E-16,-0.266811264,0.001281485,0.001243016,0.001268823,0.001342399,0.001305842
0.19,0,-0.281633814,0.001225893,0.001184589,0.001212301,0.001291257,0.001252163
0.2,1.11E-16,-0.296456337,0.001172566,0.001128503,0.001158069,0.00124229,0.001200732
0.21,1.11E-16,-0.311278833,0.001121441,0.00107471,0.00110607,0.001195417,0.001151478
0.22,-2.22E-16,-0.326101303,0.001072454,0.001023164,0.001056246,0.001150557,0.001104333
0.23,0,-0.340923748,0.001025544,0.000973816,0.001008539,0.001107632,0.001059226
0.24,1.11E-16,-0.355746167,0.000980649,0.00092662,0.000962892,0.001066567,0.001016089
0.25,-1.11E-16,-0.370568563,0.000937706,0.000881526,0.000919247,0.001027288,0.000974855
0.26,-1.11E-16,-0.385390935,0.000896654,0.000838483,0.000877547,0.000989723,0.000935458
0.27,-1.11E-16,-0.400213283,0.000857434,0.000797443,0.000837735,0.000953805,0.000897834
0.28,-1.11E-16,-0.41503561,0.000819986,0.000758354,0.000799755,0.000919464,0.000861918
0.29,1.11E-16,-0.429857915,0.00078425,0.000721166,0.000763549,0.000886638,0.000827649
0.3,-1.11E-16,-0.444680198,0.000750168,0.000685826,0.000729062,0.000855262,0.000794965
0.31,0,-0.459502461,0.000717684,0.000652284,0.000696238,0.000825276,0.000763806
0.32,-1.11E-16,-0.474324704,0.000686742,0.000620487,0.000665023,0.000796622,0.000734114
0.33,0,-0.489146928,0.000657285,0.000590383,0.000635363,0.000769242,0.000705832
0.34,0.02309478,-0.484736026,0.00062826,0.000565881,0.000607203,0.000743082,0.000678905
0.35,0.069388502,-0.461421073,0.000599732,0.000544397,0.000580491,0.00071809,0.000653278
0.36,0.117128895,-0.437377537,0.000572637,0.000523841,0.000555175,0.000694214,0.000628898
0.37,0.166384845,-0.412570724,0.000546933,0.000504188,0.000531203,0.000671405,0.000605713
0.38,0.217229688,-0.3869637,0.000522578,0.000485415,0.000508525,0.000649617,0.000583675
0.39,0.269741565,-0.360517111,0.000499529,0.000467497,0.00048709,0.000628804,0.000562734
0.4,0.324003829,-0.333188979,0.000477742,0.000450411,0.000466852,0.000608922,0.000542843
0.41,0.380105481,-0.30493448,0.000457177,0.000434132,0.00044776,0.00058993,0.000523957
0.42,0.438141662,-0.275705698,0.00043779,0.000418638,0.000429769,0.000571787,0.000506031
0.43,0.498214191,-0.245451355,0.000419539,0.000403905,0.000412833,0.000554456,0.000489023
0.44,0.560432156,-0.21411651,0.000402384,0.000389909,0.000396906,0.000537898,0.000472891
0.45,0.624912582,-0.181642227,0.000386282,0.000376628,0.000381945,0.000522079,0.000457594
0.46,0.691781161,-0.147965204,0.000371192,0.00036404,0.000367906,0.000506964,0.000443096
0.47,0.761173072,-0.113017361,0.000357075,0.000352121,0.000354748,0.00049252,0.000429357
0.48,0.833233891,-0.076725382,0.000343889,0.000340849,0.00034243,0.000478718,0.000416342
0.49,0.908120612,-0.039010199,0.000331594,0.000330202,0.000330912,0.000465526,0.000404017
0.5,0.49289636,1.75E-06,0.000392371,0.000320179,0.000320179,0.000452917,0.000392371
0.51,0.946424629,-0.000559269,0.000316845,0.000316837,0.000316841,0.000440863,0.000384843
0.52,0.908717317,-0.001097867,0.000313546,0.000313531,0.000313539,0.000429337,0.000377542
0.53,0.872432929,-0.001616135,0.000310284,0.000310261,0.000310273,0.000418316,0.000370461
0.54,0.837492413,-0.002115201,0.000307058,0.000307027,0.000307044,0.000407775,0.000363593
0.55,0.803822468,-0.002596112,0.000303867,0.000303829,0.00030385,0.000397692,0.000356932
0.56,0.771355029,-0.003059841,0.000300713,0.000300667,0.000300693,0.000388044,0.000350472
0.57,0.740026805,-0.003507292,0.000297594,0.000297542,0.000297572,0.000378812,0.000344207
0.58,0.709778872,-0.003939305,0.000294512,0.000294453,0.000294487,0.000369976,0.00033813
0.59,0.680556302,-0.004356666,0.000291465,0.000291399,0.000291438,0.000361517,0.000332237
