m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.1,-2.78E-17,-0.097755234,0.001885593,0.001870343,0.001879738,0.001903461,0.001890751
0.11,0,-0.107530639,0.001814208,0.001796241,0.00180731,0.001835136,0.00182027
0.12,2.78E-17,-0.117306024,0.001745198,0.001724389,0.001737209,0.001769298,0.001752203
0.13,-5.55E-17,-0.127081389,0.001678512,0.00165476,0.001669394,0.001705873,0.001686494
0.14,-5.55E-17,-0.136856735,0.001614101,0.001587326,0.001603823,0.001644787,0.001623087
0.15,5.55E-17,-0.146632062,0.001551914,0.001522057,0.001540455,0.001585969,0.001561925
0.16,0,-0.156407371,0.001491902,0.001458923,0.001479247,0.001529348,0.001502954
0.17,1.67E-16,-0.166182662,0.001434014,0.001397893,0.001420156,0.001474854,0.001446118
0.18,5.55E-17,-0.175957935,0.001378199,0.001338935,0.001363137,0.00142242,0.00139136
0.19,-5.55E-17,-0.185733192,0.001324406,0.001282016,0.001308149,0.001371979,0.001338628
0.2,1.11E-16,-0.195508431,0.001272585,0.001227103,0.001255146,0.001323465,0.001287864
0.21,5.55E-17,-0.205283655,0.001222684,0.001174162,0.001204083,0.001276813,0.001239016
0.22,0,-0.215058862,0.001174654,0.001123157,0.001154918,0.001231963,0.001192029
0.23,-5.55E-17,-0.224834054,0.001128445,0.001074054,0.001107605,0.001188851,0.001146851
0.24,1.11E-16,-0.234609231,0.001084006,0.001026816,0.001062099,0.001147418,0.001103428
0.25,-1.11E-16,-0.244384393,0.001041287,0.000981406,0.001018355,0.001107606,0.001061708
0.26,0,-0.25415954,0.001000239,0.000937788,0.00097633,0.001069357,0.00102164
0.27,0.002021798,-0.26218615,0.000960625,0.000895924,0.000935979,0.001032617,0.000983173
0.28,0.027845907,-0.249952985,0.000920394,0.000855776,0.000897257,0.00099733,0.000946257
0.29,0.054397452,-0.237375228,0.000881708,0.000817306,0.000860119,0.000963445,0.000910842
0.3,0.081707608,-0.22443811,0.000844535,0.000780475,0.000824523,0.00093091,0.000876882
0.31,0.109809358,-0.211126008,0.00080884,0.000745244,0.000790425,0.000899675,0.000844326
0.32,0.138737627,-0.197422377,0.00077459,0.000711574,0.00075778,0.000869692,0.00081313
0.33,0.168529421,-0.183309688,0.000741751,0.000679427,0.000726547,0.000840913,0.000783247
0.34,0.199223992,-0.168769346,0.000710291,0.000652427,0.000696681,0.000813295,0.000754631
0.35,0.230863007,-0.153781613,0.000680174,0.000628285,0.000668142,0.000786791,0.000727239
0.36,0.263490737,-0.138325518,0.000651366,0.000605087,0.000640888,0.000761359,0.000701028
0.37,0.297154263,-0.122378758,0.000623834,0.00058281,0.000614877,0.000736959,0.000675956
0.38,0.331903705,-0.105917591,0.000597544,0.000561429,0.000590068,0.000713549,0.00065198
0.39,0.367792467,-0.088916718,0.000572462,0.000540923,0.000566422,0.000691091,0.000629062
0.4,0.404877517,-0.071349155,0.000548553,0.000521269,0.000543898,0.000669548,0.00060716
0.41,0.443219682,-0.053186086,0.000525785,0.000502444,0.000522458,0.000648882,0.000586238
0.42,0.482883986,-0.03439671,0.000504122,0.000484425,0.000502063,0.00062906,0.000566258
0.43,0.523940014,-0.014948062,0.000483531,0.000467189,0.000482677,0.000610047,0.000547182
0.44,0.317227285,0.002917681,0.000528977,0.000450716,0.000465825,0.00059181,0.000528977
0.45,0.335800327,0.014347323,0.000511607,0.000434982,0.000454244,0.000574318,0.000511607
0.46,0.354373359,0.025776956,0.000495039,0.000419965,0.000443186,0.00055754,0.000495039
0.47,0.372946382,0.037206578,0.00047924,0.000405645,0.000432621,0.000541448,0.00047924
0.48,0.391519394,0.04863619,0.000464178,0.000391999,0.000422521,0.000526013,0.000464178
0.49,0.410092396,0.060065792,0.000449824,0.000379006,0.000412859,0.000511208,0.000449824
0.5,0.428621543,0.071451539,0.000436173,0.000366668,0.000403612,0.000497007,0.000436173
0.51,0.440051024,0.07573762,0.000427065,0.00036159,0.000394757,0.000483384,0.000427065
0.52,0.451480503,0.080023698,0.00041822,0.000356585,0.000386271,0.000470316,0.00041822
0.53,0.462909979,0.084309774,0.000409632,0.000351652,0.000378136,0.000457778,0.000409632
0.54,0.474339452,0.088595848,0.000401294,0.00034679,0.000370333,0.00044575,0.000401294
0.55,0.485768923,0.092881918,0.000393198,0.000341999,0.000362843,0.000434209,0.000393198
0.56,0.497198392,0.097167987,0.000385339,0.000337279,0.00035565,0.000423134,0.000385339
0.57,0.508627858,0.101454053,0.000377709,0.00033263,0.000348739,0.000412507,0.000377709
0.58,0.520057322,0.105740117,0.000370303,0.00032805,0.000342096,0.000402307,0.000370303
0.59,0.531486784,0.110026179,0.000363115,0.00032354,0.000335706,0.000392517,0.000363115
0.6,0.542916244,0.114312239,0.000356138,0.0003191,0.000329557,0.00038312,0.000356138
0.61,0.554345701,0.118598296,0.000349367,0.000314728,0.000323638,0.000374098,0.000349367
0.62,0.565775157,0.122884352,0.000342796,0.000310424,0.000317936,0.000365436,0.000342796
0.63,0.57720461,0.127170405,0.000336419,0.000306189,0.000312441,0.000357118,0.000336419
0.64,0.588634062,0.131456457,0.000330231,0.000302021,0.000307143,0.000349129,0.000330231
0.65,0.600063512,0.135742507,0.000324226,0.000297921,0.000302034,0.000341456,0.000324226
0.66,0.61149296,0.140028555,0.0003184,0.000293887,0.000297103,0.000334084,0.0003184
0.67,0.349642604,-0.002115469,0.000292633,0.000290001,0.000292607,0.000327002,0.000312748
0.68,0.327695229,-0.00838493,0.000288841,0.000286334,0.000288741,0.000320197,0.000307264
0.69,0.306384167,-0.014472512,0.000285109,0.000282725,0.000284942,0.000313656,0.000301943
0.7,0.285682162,-0.020385993,0.000281437,0.000279172,0.00028121,0.00030737,0.000296782
0.71,0.265563496,-0.026132712,0.000277824,0.000275676,0.000277545,0.000301326,0.000291775
0.72,0.246003884,-0.0317196,0.000274271,0.000272236,0.000273946,0.000295516,0.000286919
0.73,0.226980372,-0.037153201,0.000270777,0.000268852,0.000270412,0.000289928,0.000282208
0.74,0.208471251,-0.042439706,0.000267342,0.000265524,0.000266942,0.000284554,0.000277639
0.75,0.190455974,-0.04758497,0.000263965,0.000262251,0.000263537,0.000279384,0.000273208
0.76,0.17291508,-0.052594535,0.000260647,0.000259034,0.000260195,0.000274411,0.00026891
0.77,0.155830126,-0.05747365,0.000257386,0.000255871,0.000256916,0.000269626,0.000264743
0.78,0.139183619,-0.062227289,0.000254182,0.000252762,0.000253699,0.000265021,0.000260701
0.79,0.122958961,-0.066860162,0.000251035,0.000249708,0.000250544,0.000260589,0.000256783
0.8,0.107140396,-0.071376739,0.000247945,0.000246708,0.00024745,0.000256323,0.000252984
