m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.1,5.55E-17,-0.113109816,0.002124893,0.00211454,0.002122179,0.002147532,0.002134559
0.11,-1.11E-16,-0.124420663,0.002050089,0.002037835,0.002046875,0.002076752,0.002061505
0.12,-5.55E-17,-0.135731487,0.00197739,0.00196313,0.00197365,0.002008262,0.001990645
0.13,1.67E-16,-0.147042288,0.001906769,0.001890413,0.001902478,0.001942008,0.00192194
0.14,5.55E-17,-0.158353068,0.001838199,0.001819671,0.001833337,0.001877932,0.001855352
0.15,5.55E-17,-0.169663826,0.001771651,0.001750887,0.001766203,0.001815981,0.00179084
0.16,0,-0.180974563,0.001707097,0.001684046,0.001701049,0.001756098,0.001728365
0.17,-1.67E-16,-0.192285279,0.001644507,0.001619131,0.001637849,0.00169823,0.001667886
0.18,-5.55E-17,-0.203595974,0.001583851,0.001556123,0.001576575,0.001642322,0.001609362
0.19,1.11E-16,-0.214906649,0.001525096,0.001495003,0.0015172,0.001588321,0.001552753
0.2,1.11E-16,-0.226217305,0.001468212,0.00143575,0.001459695,0.001536174,0.001498016
0.21,1.11E-16,-0.237527941,0.001413165,0.001378344,0.00140403,0.001485828,0.001445111
0.22,0,-0.248838559,0.001359922,0.001322761,0.001350174,0.001437232,0.001393995
0.23,0,-0.260149158,0.00130845,0.001268979,0.001298098,0.001390335,0.001344627
0.24,-1.11E-16,-0.271459739,0.001258715,0.001216974,0.001247768,0.001345087,0.001296966
0.25,0,-0.282770303,0.001210681,0.00116672,0.001199154,0.001301438,0.001250969
0.26,1.11E-16,-0.294080849,0.001164315,0.001118193,0.001152223,0.00125934,0.001206596
0.27,2.22E-16,-0.305391378,0.001119581,0.001071365,0.001106942,0.001218746,0.001163804
0.28,0,-0.316701891,0.001076443,0.001026209,0.001063277,0.001179609,0.001122553
0.29,-2.22E-16,-0.328012388,0.001034867,0.000982697,0.001021196,0.001141882,0.001082802
0.3,-2.22E-16,-0.339322869,0.000994815,0.000940802,0.000980664,0.001105521,0.00104451
0.31,0,-0.350633335,0.000956253,0.000900492,0.000941646,0.001070482,0.001007638
0.32,0,-0.361943786,0.000919143,0.00086174,0.000904109,0.001036722,0.000972144
0.33,0,-0.373254222,0.000883451,0.000824514,0.000868018,0.001004198,0.00093799
0.34,2.22E-16,-0.384564645,0.00084914,0.00079267,0.000833338,0.000972871,0.000905136
0.35,-2.22E-16,-0.395875054,0.000816175,0.000763859,0.000800035,0.000942699,0.000873545
0.36,-1.11E-16,-0.40718545,0.000784519,0.000736069,0.000768074,0.000913643,0.000843177
0.37,0.006968411,-0.41256461,0.000753859,0.000709278,0.00073742,0.000885665,0.000813996
0.38,0.050863916,-0.38695738,0.000723026,0.000683465,0.000708038,0.000858729,0.000785965
0.39,0.096198605,-0.360510581,0.000693443,0.000658609,0.000679894,0.000832797,0.000759046
0.4,0.143044437,-0.333182236,0.000665082,0.00063469,0.000652954,0.000807835,0.000733206
0.41,0.191478249,-0.304927519,0.000637914,0.000611685,0.000627182,0.000783808,0.000708407
0.42,0.24158218,-0.275698516,0.000611911,0.000589573,0.000602545,0.000760683,0.000684616
0.43,0.29344413,-0.245443947,0.000587042,0.000568334,0.000579009,0.000738427,0.0006618
0.44,0.347158278,-0.214108872,0.000563279,0.000547945,0.00055654,0.00071701,0.000639924
0.45,0.402825653,-0.181634354,0.000540593,0.000528386,0.000535105,0.000696401,0.000618957
0.46,0.460554769,-0.14795709,0.000518954,0.000509636,0.000514671,0.000676569,0.000598866
0.47,0.520462327,-0.113009002,0.000498334,0.000491673,0.000495205,0.000657487,0.000579621
0.48,0.582674006,-0.076716771,0.000478702,0.000474476,0.000476674,0.000639127,0.000561191
0.49,0.647325344,-0.039001331,0.00046003,0.000458025,0.000459047,0.000621462,0.000543548
0.5,0.357205733,3.57E-05,0.000526695,0.000442328,0.000442331,0.000604465,0.000526695
0.51,0.675037524,-0.011182692,0.000436398,0.000436141,0.000436273,0.000588112,0.000515813
0.52,0.637331789,-0.021954576,0.000430543,0.000430036,0.0004303,0.000572378,0.000505223
0.53,0.60104904,-0.032319847,0.000424763,0.000424014,0.000424411,0.00055724,0.000494918
0.54,0.56611023,-0.042301084,0.000419058,0.000418073,0.000418605,0.000542675,0.000484891
0.55,0.532442062,-0.051919228,0.000413426,0.000412212,0.00041288,0.000528661,0.000475136
0.56,0.499976475,-0.061193721,0.000407868,0.000406433,0.000407237,0.000515176,0.000465645
0.57,0.468650185,-0.070142639,0.000402384,0.000400734,0.000401675,0.000502202,0.000456413
0.58,0.438404273,-0.078782812,0.000396973,0.000395115,0.000396193,0.000489716,0.000447432
0.59,0.409183816,-0.087129929,0.000391634,0.000389575,0.000390791,0.000477702,0.000438697
0.6,0.380937554,-0.095198628,0.000386368,0.000384114,0.000385467,0.000466139,0.000430202
0.61,0.353617588,-0.103002591,0.000381173,0.000378732,0.000380222,0.000455011,0.00042194
0.62,0.327179113,-0.110554611,0.00037605,0.000373428,0.000375055,0.000444301,0.000413906
0.63,0.301580168,-0.117866671,0.000370998,0.000368202,0.000369964,0.000433993,0.000406094
0.64,0.276781418,-0.124950002,0.000366017,0.000363053,0.000364951,0.000424069,0.000398498
0.65,0.252745949,-0.131815141,0.000361106,0.000357981,0.000360013,0.000414516,0.000391112
0.66,0.229439088,-0.138471985,0.000356265,0.000352986,0.000355151,0.000405319,0.000383932
0.67,0.206828234,-0.144929839,0.000351494,0.000348169,0.000350364,0.000396464,0.000376952
0.68,0.184882705,-0.151197455,0.000346792,0.000343621,0.000345651,0.000387937,0.000370167
0.69,0.163573603,-0.157283076,0.000342159,0.000339138,0.000341011,0.000379725,0.000363571
0.7,0.142873684,-0.163194471,0.000337594,0.000334721,0.000336445,0.000371816,0.000357161
