m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.1,0,-0.106680531,0.002124711,0.00211454,0.002122179,0.002147532,0.002134559
0.11,-5.55E-17,-0.117348457,0.002049874,0.002037835,0.002046875,0.002076752,0.002061505
0.12,0,-0.12801636,0.00197714,0.00196313,0.00197365,0.002008262,0.001990645
0.13,1.11E-16,-0.138684243,0.001906482,0.001890413,0.001902478,0.001942008,0.00192194
0.14,1.67E-16,-0.149352104,0.001837874,0.001819671,0.001833337,0.001877932,0.001855352
0.15,-1.11E-16,-0.160019945,0.001771287,0.001750887,0.001766203,0.001815981,0.00179084
0.16,0,-0.170687766,0.001706693,0.001684046,0.001701049,0.001756098,0.001728365
0.17,1.11E-16,-0.181355567,0.001644063,0.001619131,0.001637849,0.00169823,0.001667886
0.18,1.11E-16,-0.192023349,0.001583365,0.001556123,0.001576575,0.001642322,0.001609362
0.19,-2.22E-16,-0.202691111,0.001524569,0.001495003,0.0015172,0.001588321,0.001552753
0.2,1.11E-16,-0.213358855,0.001467643,0.00143575,0.001459695,0.001536174,0.001498016
0.21,0,-0.22402658,0.001412555,0.001378344,0.00140403,0.001485828,0.001445111
0.22,-1.11E-16,-0.234694288,0.001359272,0.001322761,0.001350174,0.001437232,0.001393995
0.23,-1.11E-16,-0.245361978,0.00130776,0.001268979,0.001298098,0.001390335,0.001344627
0.24,0,-0.256029651,0.001257985,0.001216974,0.001247768,0.001345087,0.001296966
0.25,1.11E-16,-0.266697307,0.001209913,0.00116672,0.001199154,0.001301438,0.001250969
0.26,1.11E-16,-0.277364946,0.001163509,0.001118193,0.001152223,0.00125934,0.001206596
0.27,0,-0.28803257,0.001118739,0.001071365,0.001106942,0.001218746,0.001163804
0.28,0,-0.298700178,0.001075566,0.001026209,0.001063277,0.001179609,0.001122553
0.29,0,-0.30936777,0.001033956,0.000982697,0.001021196,0.001141882,0.001082802
0.3,-1.11E-16,-0.320035348,0.000993872,0.000940802,0.000980664,0.001105521,0.00104451
0.31,0,-0.330702912,0.00095528,0.000900492,0.000941646,0.001070482,0.001007638
0.32,2.22E-16,-0.341370461,0.000918142,0.00086174,0.000904109,0.001036722,0.000972144
0.33,-1.11E-16,-0.352037996,0.000882424,0.000824514,0.000868018,0.001004198,0.00093799
0.34,0,-0.362705518,0.000848088,0.00079267,0.000833338,0.000972871,0.000905136
0.35,-1.11E-16,-0.373373027,0.0008151,0.000763859,0.000800035,0.000942699,0.000873545
0.36,0,-0.384040523,0.000783424,0.000736069,0.000768074,0.000913643,0.000843177
0.37,0,-0.394708007,0.000753024,0.000709278,0.00073742,0.000885665,0.000813996
0.38,0.02167583,-0.38695738,0.000723026,0.000683465,0.000708038,0.000858729,0.000785965
0.39,0.065751326,-0.360510581,0.000693443,0.000658609,0.000679894,0.000832797,0.000759046
0.4,0.111295992,-0.333182236,0.000665082,0.00063469,0.000652954,0.000807835,0.000733206
0.41,0.158384532,-0.304927519,0.000637914,0.000611685,0.000627182,0.000783808,0.000708407
0.42,0.2070968,-0.275698516,0.000611911,0.000589573,0.000602545,0.000760683,0.000684616
0.43,0.257518258,-0.245443947,0.000587042,0.000568334,0.000579009,0.000738427,0.0006618
0.44,0.309740468,-0.214108872,0.000563279,0.000547945,0.00055654,0.00071701,0.000639924
0.45,0.363861653,-0.181634354,0.000540593,0.000528386,0.000535105,0.000696401,0.000618957
0.46,0.419987312,-0.14795709,0.000518954,0.000509636,0.000514671,0.000676569,0.000598866
0.47,0.478230905,-0.113009002,0.000498334,0.000491673,0.000495205,0.000657487,0.000579621
0.48,0.538714621,-0.076716771,0.000478702,0.000474476,0.000476674,0.000639127,0.000561191
0.49,0.601570232,-0.039001331,0.00046003,0.000458025,0.000459047,0.000621462,0.000543548
0.5,0.333400354,4.17E-05,0.000526695,0.000442328,0.000442331,0.000604465,0.000526695
0.51,0.627425728,-0.013046474,0.000436398,0.000436141,0.000436273,0.000588112,0.000515813
0.52,0.589720268,-0.025613672,0.000430543,0.000430036,0.0004303,0.000572378,0.000505223
0.53,0.553437806,-0.037706488,0.000424763,0.000424014,0.000424411,0.00055724,0.000494918
0.54,0.518499295,-0.049351265,0.000419058,0.000418073,0.000418605,0.000542675,0.000484891
0.55,0.484831438,-0.060572433,0.000413426,0.000412212,0.00041288,0.000528661,0.000475136
0.56,0.452366175,-0.071392674,0.000407868,0.000406433,0.000407237,0.000515176,0.000465645
0.57,0.421040223,-0.081833079,0.000402384,0.000400734,0.000401675,0.000502202,0.000456413
