m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.1,1.11E-16,-0.113276944,0.001935258,0.001924064,0.001932403,0.001958157,0.001945263
0.11,0,-0.124602713,0.001860193,0.001847008,0.001856814,0.001887004,0.001871952
0.12,1.11E-16,-0.135928157,0.001787665,0.001772402,0.00178374,0.001818527,0.001801252
0.13,1.11E-16,-0.147253281,0.00171762,0.001700211,0.00171313,0.001752643,0.001733098
0.14,-1.11E-16,-0.158578092,0.001650006,0.001630398,0.001644936,0.001689267,0.001667423
0.15,-5.55E-17,-0.169902595,0.001584769,0.001562924,0.001579109,0.001628317,0.001604161
0.16,0,-0.181226796,0.001521855,0.001497752,0.001515598,0.001569713,0.001543247
0.17,0,-0.192550701,0.001461211,0.001434841,0.001454356,0.001513376,0.001484616
0.18,0,-0.203874317,0.001402782,0.001374153,0.00139533,0.00145923,0.001428205
0.19,0,-0.21519765,0.001346516,0.001315647,0.001338472,0.001407198,0.001373949
0.2,-1.11E-16,-0.226520705,0.001292358,0.001259281,0.001283731,0.001357209,0.001321786
0.21,0,-0.237843488,0.001240255,0.001205014,0.001231056,0.00130919,0.001271654
0.22,1.11E-16,-0.249166006,0.001190154,0.001152806,0.001180399,0.001263072,0.001223492
0.23,-1.11E-16,-0.260488265,0.001142002,0.001102612,0.001131708,0.001218787,0.00117724
0.24,0,-0.27181027,0.001095747,0.001054391,0.001084933,0.001176269,0.001132838
0.25,1.11E-16,-0.283132027,0.001051335,0.001008099,0.001040026,0.001135453,0.001090228
0.26,1.11E-16,-0.294453544,0.001008717,0.000963694,0.000996936,0.001096277,0.001049352
0.27,1.11E-16,-0.305774825,0.000967839,0.000921132,0.000955614,0.00105868,0.001010155
0.28,-1.11E-16,-0.317095876,0.000928651,0.000880369,0.000916012,0.001022603,0.000972579
0.29,0,-0.328416705,0.000891103,0.000841361,0.00087808,0.000987989,0.000936572
0.3,1.11E-16,-0.339737316,0.000855146,0.000804065,0.00084177,0.000954782,0.000902079
0.31,1.11E-16,-0.351057716,0.000820729,0.000768437,0.000807036,0.000922929,0.000869048
0.32,-1.11E-16,-0.362377911,0.000787805,0.000734431,0.000773828,0.000892377,0.000837429
0.33,1.11E-16,-0.373697906,0.000756326,0.000702005,0.000742101,0.000863075,0.000807171
0.34,1.11E-16,-0.385017708,0.000726244,0.000674824,0.000711808,0.000834975,0.000778225
