,m0,m1,m2,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,S3,I3,D_vals,Uphi,Un,Ud
0,0.1,0.1,0.11499999999999999,0.6649662369572733,0,-5.551115123125783e-17,-0.11936111586272868,0.16710556220782005,0.0,0.28646667807054876,0.0,0,0.0,0.8913372332596933,0.0705392370442492,0.001857594778515248,0.20052667464938412,1.400526674649384,1.2
1,0.11,0.11,0.1265,0.6724385973351698,0,-5.551115123125783e-17,-0.13129706546017872,0.18381589164425002,0.0,0.3151129571044287,0.0,0,0.0,0.8955755560614634,0.0670823730062691,0.0017840174744038397,0.2205790699731001,1.4205790699731,1.2
2,0.12000000000000001,0.12000000000000001,0.138,0.6800807747208499,0,0.0,-0.14323298757781255,0.2005261826089375,0.0,0.34375917018675006,0.0,0,0.0,0.8996612089388619,0.0637632513736542,0.0017129298074843985,0.24063141913072503,1.440631419130725,1.2
3,0.13,0.13,0.1495,0.6878986248732198,0,-1.6653345369377348e-16,-0.15516888270878515,0.21723643579229918,0.0,0.3724053185010845,0.0,0,0.0,0.9035982190913159,0.06057798208479651,0.0016442831272350977,0.26068372295075914,1.460683722950759,1.1999999999999997
4,0.14,0.14,0.161,0.6958982759120643,0,1.1102230246251565e-16,-0.16710475134624558,0.233946651884744,0.0,0.40105140323098964,0.0,0,0.0,0.9073905609731656,0.057522727922382284,0.001578028160363743,0.28073598226169283,1.4807359822616926,1.1999999999999997
5,0.15000000000000002,0.15000000000000002,0.17250000000000001,0.7040861443392765,0,-5.551115123125783e-17,-0.1790405939833375,0.2506568315766725,0.0,0.4296974255600101,0.0,0,0.0,0.9110421554059658,0.05459370540108981,0.0015141150890909496,0.30078819789200706,1.5007881978920068,1.1999999999999997
6,0.16,0.16,0.184,0.7124689522044578,0,-2.7755575615628914e-16,-0.19097641111319863,0.2673669755584775,0.0,0.458343386671676,0.0,0,0.0,0.9145568687445742,0.051787185601501064,0.0014524936284377138,0.3208403706701732,1.5208403706701732,1.2
7,0.17,0.17,0.1955,0.721053745511408,0,5.551115123125783e-17,-0.2029122032289602,0.28407708452054425,0.0,0.4869892877495044,0.0,0,0.0,0.9179385120960989,0.04909949495115405,0.0013931131023472657,0.3408925014246531,1.540892501424653,1.2
8,0.18,0.18,0.207,0.7298479139714291,0,0.0,-0.21484797082374985,0.3007871591532497,0.0,0.5156351299769996,0.0,0,0.0,0.9211908405907819,0.046527015953659726,0.0013359225184809346,0.3609445909838997,1.5609445909838997,1.2
9,0.19,0.19,0.21849999999999997,0.738859212219838,0,-1.1102230246251565e-16,-0.22678371439068856,0.31749720014696375,0.0,0.5442809145376523,0.0,0,0.0,0.9243175527039024,0.04406618786679833,0.0012808706415378685,0.38099664017635654,1.5809966401763564,1.2
