m,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,S4,I4,D_vals,Uphi,Un,Ud
0.1,0.7013121204816467,0,1.1102230246251565e-16,-0.11327694365933483,0.1585877211230689,0.0,0.27186466478240373,0.0,0.0,0.0,0.8960068651685685,0.06242408233317686,0.0019352582189157248,0.1903052653476827,1.3903052653476826,1.2
0.11,0.7092029863468372,0,0.0,-0.12460271337328388,0.17444379872259724,0.0,0.299046512095881,0.0,0.0,0.0,0.8999540265454801,0.05935048651598549,0.0018601930765972756,0.2093325584671167,1.4093325584671166,1.2
0.12000000000000001,0.7172730629513923,0,1.1102230246251565e-16,-0.13592815730570407,0.19029942022798563,0.0,0.3262275775336896,0.0,0.0,0.0,0.9037624899882546,0.05639861256242426,0.0017876648094963684,0.22835930427358278,1.4283593042735827,1.2
0.13,0.7255285299790578,0,1.1102230246251565e-16,-0.14725328149237593,0.20615459408932624,0.0,0.35340787558170206,0.0,0.0,0.0,0.9074358255177962,0.05356505026706636,0.0017176203337499747,0.2473855129071915,1.4473855129071915,1.2
0.14,0.7339758545407306,0,-1.1102230246251565e-16,-0.15857809196818096,0.22200932875545323,0.0,0.3805874207236343,0.0,0.0,0.0,0.9109775568974431,0.05084643579753425,0.0016500063060366308,0.266411194506544,1.466411194506544,1.2
0.15000000000000002,0.7426218080819371,0,-5.551115123125783e-17,-0.16990259476711278,0.23786363267395796,0.0,0.4077662274410709,0.0,0.0,0.0,0.9143911608825064,0.04823945244496143,0.0015847691895292846,0.2854363592087496,1.4854363592087494,1.1999999999999997
0.16,0.7514734844979915,0,0.0,-0.1812267959222883,0.2537175142912036,0.0,0.4349443102134919,0.0,0.0,0.0,0.9176800665166648,0.04574083132759803,0.0015218553182979274,0.3044610171494443,1.5044610171494441,1.1999999999999997
0.17,0.7605383195586803,0,0.0,-0.19255070146595754,0.2695709820523407,0.0,0.46212168351829835,0.0,0.0,0.0,0.9208476544743788,0.04334735204839558,0.0014612109600753943,0.32348517846280883,1.5234851784628087,1.2
0.18,0.7698241117542677,0,0.0,-0.20387431742951567,0.2854240444013219,0.0,0.4892983618308376,0.0,0.0,0.0,0.9238972564485,0.041055843307398705,0.001402782377307554,0.3425088532815863,1.5425088532815863,1.2
0.19,0.7793390446856477,0,0.0,-0.21519764984351242,0.3012767097809175,0.0,0.51647435962443,0.0,0.0,0.0,0.9268321545822504,0.03886318346976571,0.0013465158864170784,0.36153205173710096,1.561532051737101,1.2
0.2,0.7890917111337592,0,-1.1102230246251565e-16,-0.22652070473766428,0.31712898663272987,0.0,0.5436496913703942,0.0,0.0,0.0,0.9296555809447569,0.03676630109023311,0.0012923579152177404,0.38055478395927594,1.580554783959276,1.2
0.21000000000000002,0.7990911389570566,0,0.0,-0.23784348814086376,0.33298088339720905,0.0,0.5708243715380728,0.0,0.0,0.0,0.9323707170493358,0.034762175394832326,0.0012402550584240443,0.3995770600766509,1.5995770600766508,1.2
0.22,0.8093468189810948,0,1.1102230246251565e-16,-0.2491660060811911,0.34883240851366765,0.0,0.5979984145948588,0.0,0.0,0.0,0.9349806934137208,0.03284783672066094,0.0011901541312085778,0.41859889021640123,1.618598890216401,1.1999999999999997
0.23,0.8198687350613274,0,-1.1102230246251565e-16,-0.26048826458592567,0.3646835704202957,0.0,0.6251718350062213,0.0,0.0,0.0,0.9374885891614435,0.031020366914503154,0.0011420022207669182,0.43762028450435486,1.6376202845043548,1.2
0.24000000000000002,0.830667396519284,0,0.0,-0.2718102696815543,0.3805343775541761,0.0,0.6523446472357305,0.0,0.0,0.0,0.9398974316635729,0.029276899691088515,0.0010957467358572977,0.4566412530650113,1.6566412530650112,1.2
0.25,0.8417538731736428,0,1.1102230246251565e-16,-0.2831320273937852,0.3963848383512993,0.0,0.6795168657450844,0.0,0.0,0.0,0.9422101962200387,0.02761462095177053,0.001051335454289181,0.4756618060215591,1.6756618060215591,1.2
0.26,0.8531398332116591,0,1.1102230246251565e-16,-0.29445354374755595,0.41223496124657844,0.0,0.7066885049941344,0.0,0.0,0.0,0.9444298057797562,0.02603076906440047,0.0010087165683417992,0.4946819534958941,1.694681953495894,1.1999999999999997
