mask,£kA,£kB,£kA1,£kB1,£kA0,£kB0,£kA11,£kB11,£kA10,£kB10,£kA01,£kB01,£kA00,£kB00,S,I,D,Un,Uphi,Un-Uphi
0.1,3.8646673918e-08,0.11111775521,0.42624572016,4.9399585759e-08,1.5847970206e-07,0.12501595906,0.4800475915,0.43983405436,0.49354824911,3.2667611834e-07,0.33108248668,9.405160198e-08,0.37147682898,0.089821090093,0.87034884424,4.4276512821e-28,0.0017891859495,1.460033977522062,0.31559203370892425,1.144441943813138
0.11,3.5953972471e-08,0.12360289911,0.42752529545,4.622062662e-08,1.5008225691e-07,0.14104378019,0.48043248286,0.44078522895,0.49369068815,3.0814037705e-07,0.33174382037,8.902263319e-08,0.40862412098,0.097128254757,0.87635178589,4.9034963301e-28,0.0017063453547,1.4860370660469182,0.3478377480039142,1.1381993180430041
0.12000000000000001,3.3812338589e-08,0.13637179622,0.42867468857,4.3705820481e-08,1.4354009869e-07,0.15791520407,0.48078534565,0.44164426923,0.49381970491,2.9342258136e-07,0.33231521486,8.5108753424e-08,0.44577138044,0.10395957736,0.88211699593,5.3912292745e-28,0.0016267854562,1.5120401346413803,0.3802253087239639,1.1318148259174166
0.13,3.2101472767e-08,0.14943423112,0.42969905536,4.17115853e-08,1.3846045944e-07,0.17569863368,0.48110738358,0.44241511457,0.49393609362,2.8169467013e-07,0.33279938047,8.2073563539e-08,0.48291860584,0.11024484812,0.88764958256,5.8855377342e-28,0.0015504357607,1.5380431815831894,0.4127596087456982,1.1252835728374913
0.14,3.0736008535e-08,0.16280044351,0.43060384118,4.0136237518e-08,1.3456613481e-07,0.19447007265,0.48139988459,0.44310202716,0.49404065802,2.7236998045e-07,0.33319920429,7.9750059201e-08,0.52006579639,0.11589932953,0.89295477027,6.3807078604e-28,0.0014772241703,1.5640462058485682,0.44544576851852136,1.1186004373300469
0.15000000000000002,2.9653892646e-08,0.17648115494,0.43139478052,3.8906076056e-08,1.3165731933e-07,0.2143142111,0.4816642503,0.44370886668,0.49413419318,2.6502329945e-07,0.3335176203,7.8017683696e-08,0.55721295172,0.1208197938,0.89803788675,6.8707619546e-28,0.0014070771628,1.5900492068325809,0.47828914939071504,1.1117600574418658
0.16,2.8809177398e-08,0.19048759751,0.43207783476,3.7966771026e-08,1.2958777578e-07,0.23532570314,0.48190193758,0.44423977703,0.49421750278,2.593409624e-07,0.33375743352,7.6788005736e-08,0.59436007178,0.12487918856,0.90290435002,7.3496079152e-28,0.0013399199697,1.6160521842399937,0.5112953680070665,1.104756816232927
0.17,2.8167329052e-08,0.20483154465,0.43265915668,3.7277750701e-08,1.2824956152e-07,0.25761067663,0.48211445955,0.44469881135,0.49429138868,2.5508863466e-07,0.33392158077,7.599547293e-08,0.63150715672,0.12791934266,0.90755965563,7.8111944897e-28,0.0012756767523,1.6420551379759871,0.5444703116762437,1.0975848262997434
0.18,2.7702117624e-08,0.21952534408,0.43314506304,3.680849065e-08,1.2756276186e-07,0.28128852601,0.4823033718,0.44508992511,0.49435665353,2.5208991119e-07,0.3340126928,7.5591269281e-08,0.66865420688,0.12974081748,0.91200936409,8.2496660906e-28,0.0012142707755,1.6680580681221557,0.5778201548338571,1.0902379132882987
0.19,2.73934936e-08,0.23458195328,0.43354201978,3.6535989503e-08,1.2746865985e-07,0.30649405222,0.48247025478,0.44541703199,0.49441409989,2.5021176003e-07,0.33403336436,7.553913544e-08,0.70580122268,0.13008850922,0.91625908862,8.6595110625e-28,0.0011556245771,1.6940609748479782,0.6113513767969099,1.0827095980510684
