mask,£kA,£kB,£kA1,£kB1,£kA0,£kB0,£kA11,£kB11,£kA10,£kB10,£kA01,£kB01,£kA00,£kB00,S,I,D,Un,Uphi,Un-Uphi
0.1,3.4795842196e-08,0.11111775481,0.43035568634,4.9047564567e-08,1.1475407194e-07,0.12501596574,0.48126354558,0.43995594431,0.49189841829,3.2631031238e-07,0.36739399605,9.3514661141e-08,1.0536032111e-06,0.14289315552,0.87060175193,4.4444881581e-28,0.0017856958233,1.2000009267646865,0.3444860879778017,0.8555148387868847
0.11,4.0547987406e-08,1.9855002977e-08,0.38885754973,0.33496502879,1.060306921e-07,0.24722067533,0.47932771382,0.4846525537,0.48730713194,0.50962921295,0.39028944225,3.9140262239e-08,9.9989718777e-07,0.1642227061,0.87443022664,4.6225162842e-28,0.0017328628724,1.200000884826633,0.38320125901487356,0.8167996258117595
0.12000000000000001,3.0192453322e-08,0.13637179571,0.43297517097,4.3307132969e-08,1.0206489604e-07,0.15791521213,0.48205483532,0.44182981978,0.49218261002,2.9295373989e-07,0.37024294807,8.4538441847e-08,9.0715816846e-07,0.18754860289,0.88246883974,5.4169872981e-28,0.0016219300116,1.200000802490404,0.4227782922652227,0.7772225102251814
0.13,2.8549337427e-08,0.14943423056,0.43408658342,4.1287282821e-08,9.7548098288e-08,0.17569864255,0.48240262235,0.44263769967,0.49229823514,2.8116897387e-07,0.37155940746,8.1488269103e-08,8.5225853804e-07,0.2131708771,0.88805494818,5.9160070623e-28,0.0015448417151,1.200000756310481,0.463274246225937,0.7367265100845442
0.14,2.7227515537e-08,0.16280044289,0.43507235229,3.9684613877e-08,9.3923664624e-08,0.19447008242,0.48272013417,0.44336508208,0.49239710806,2.717834202e-07,0.37280938166,7.9151487067e-08,8.0613579778e-07,0.24144398608,0.89341590731,6.4157322153e-28,0.0014708604791,1.2000007178032726,0.5047119572441275,0.695288760559145
0.15000000000000002,2.6168703918e-08,0.17648115427,0.43593761185,3.8425313523e-08,9.1030229523e-08,0.21431422187,0.48300871894,0.44401624004,0.49247990391,2.6437148248e-07,0.373997214,7.7408084439e-08,7.6707486279e-07,0.27280175009,0.89855670043,6.90986838e-28,0.001399917534,1.200000685491859,0.5471246637901173,0.6528760217017417
0.16,2.5329690016e-08,0.19048759679,0.43668778327,3.7454903995e-08,8.8748215481e-08,0.23532571503,0.48326982191,0.44459548211,0.49254729755,2.5861907078e-07,0.37512737516,7.617029306e-08,7.3379275985e-07,0.3077781133,0.90348239955,7.3919520977e-28,0.0013319428863,1.200000658273357,0.5905471871030816,0.6094534711702753
0.17,2.4677949662e-08,0.20483154388,0.43732848584,3.6732659422e-08,8.6987685559e-08,0.25761068977,0.48350496727,0.44510712017,0.49259996316,2.5429137823e-07,0.37620443449,7.5373365816e-08,7.0531177302e-07,0.34703779772,0.90819815431,7.8555137483e-28,0.0012668654706,1.2000006353093184,0.6350160265705702,0.5649846087387482
0.18,2.4188732011e-08,0.21952534325,0.43786563706,3.6227878611e-08,8.5680230716e-08,0.28128854057,0.48371574583,0.44555556275,0.4926385741,2.5121147447e-07,0.37723291766,7.496946379e-08,6.808749006e-07,0.39141895376,0.91270918115,8.2942431647e-28,0.0012046133002,1.2000006159526766,0.6805694620320224,0.5194311539206542
0.19,2.3843064582e-08,0.23458195239,0.4383048885,3.5917403799e-08,8.4773626975e-08,0.30649406837,0.4839037856,0.44594511325,0.49266380177,2.4924574225e-07,0.37821798507,7.4923512558e-08,6.5988803816e-07,0.44199366686,0.91702075255,8.7021514669e-28,0.0011451136148,1.2000005996980474,0.7272476636673302,0.4727529360307172
