mask,£kA,£kB,£kA1,£kB1,£kA0,£kB0,S,I,D,Un,Uphi,Un-Uphi
0.1,0.0,0.11132572437,0.78090467166,0.0,0.20058019148,0.10043551473,0.86395268746,9.3781834464e-36,0.047616559389,1.3404061340359998,0.19606899005414624,1.1443371439818537
0.11,0.0,0.12383423164,0.7470012541,0.0,0.22063820805,0.11048590561,0.8692213495,1.1156837437e-35,0.045772527674,1.3544467456349998,0.21636385583521525,1.1380828897997846
0.12000000000000001,0.0,0.13662702317,0.8097375572,0.0,0.2406962251,0.12053793327,0.87432160589,1.3167599404e-35,0.04398743794,1.3684873575699998,0.23680086379177906,1.1316864937782207
0.13,0.0,0.14971390186,0.81738083796,0.0,0.26075424199,0.13059173048,0.87925630913,1.5419782697e-35,0.042260291805,1.382527969393,0.25738491530343277,1.125143054089567
0.14,0.0,0.16310512657,0.82193514905,0.0,0.28081225892,0.14064744494,0.88402836186,1.791922348e-35,0.04059007335,1.3965685812439999,0.27812113982591996,1.1184474414180798
0.15000000000000002,0.0,0.17681143891,0.82576764024,0.0,0.3008702759,0.15070524121,0.88864071248,2.0667721857e-35,0.038975750633,1.41060919313,0.2990149081542669,1.111594284975733
0.16,0.0,0.19084409201,0.96585434313,0.0,0.32092829343,0.16076530345,0.89309635092,2.3662561607e-35,0.037416277177,1.424649805401,0.3200718469724608,1.1045779584285391
0.17,0.0,0.20521488135,0.83127818894,0.0,0.34098630995,0.17082783731,0.89739830433,2.6896134411e-35,0.035910593485,1.4386904169649999,0.34129785368160587,1.097392563283394
0.18,0.0,0.21993617774,0.83394883882,0.0,0.36104432702,0.18089307552,0.90154963299,3.03556916e-35,0.034457628455,1.452731028914,0.3626991140253486,1.0900319148886515
0.19,0.0,0.23502096292,0.83489301993,0.0,0.38110234409,0.19096127998,0.905553426,3.4023241307e-35,0.0330563009,1.466771640863,0.38428211875906526,1.0824895221039348
