mask,£kA,£kB,£kA1,£kB1,£kA0,£kB0,S,I,D,Un,Uphi,Un-Uphi
0.1,0.99999916045,8.5266379777e-06,0.99999945392,0.0054966988941,0.92748576907,1.6901903243e-05,0.985652319359,5.031243713e-51,0.0001979979929,2.0999996802585654,2.2072570634161422e-05,2.099977607687931
0.11,1.4495716692e-06,0.12360470985,0.74804307671,3.9799296977e-07,0.99999994565,2.1427033494e-05,0.98561027812,7.8138086684e-51,0.00019857816187,1.9000001788234653,0.14833880664462631,1.751661372178839
0.12000000000000001,1.0936442722e-06,0.13637384127,0.71545002687,3.637212841e-07,0.99999995049,2.3987565649e-05,0.98556906404,1.24137896608e-50,0.00019914691632,1.9000001218326026,0.16366312084683884,1.7363370009857637
0.13,8.7143453938e-07,0.14943650413,0.69058822189,3.3472788042e-07,0.99999995457,2.6687249448e-05,0.9855293749899999,1.96911885926e-50,0.00019969462513,1.9000000885595134,0.1793397044002428,1.7206603841592707
0.14,7.1811738398e-07,0.1628029438,0.67061396199,3.0988412067e-07,0.99999995806,2.9537424696e-05,0.9854912144700001,3.1186744853e-50,0.00020022124037,1.9000000669579298,0.19538085270151168,1.704619214256418
0.15000000000000002,6.0569337019e-07,0.17648388432,0.65400441636,2.8836174996e-07,0.99999996107,3.255084836e-05,0.98545458599,4.9317746471e-50,0.00020072671341,1.9000000519742442,0.2117994356659828,1.6882006163082615
0.16,5.1977105386e-07,0.19049055914,0.63987076416,2.6953922248e-07,0.9999999637,3.5741834734e-05,0.98541949312,7.7871013516e-50,0.00020121099497,1.9000000411072735,0.228608934583791,1.6713911065234826
0.17,4.5208319094e-07,0.20483474253,0.62763173476,2.5294097778e-07,0.999999966,3.9126464533e-05,0.98538593949,1.2276995558e-49,0.00020167403505,1.900000032948362,0.24582347980189095,1.654176553146471
0.18,3.975032208e-07,0.21952878281,0.61688841396,2.3819696924e-07,0.99999996804,4.2722847525e-05,0.9853539287699999,1.93266311009e-49,0.00020211578297,1.900000026671035,0.26345789059718494,1.6365421360738501
0.19,3.5266659068e-07,0.23458563796,0.6073565043,2.2501493769e-07,0.99999996985,4.6551442829e-05,0.98532346468,3.03788970469e-49,0.00020253618733,1.9000000217338768,0.2815277179090951,1.6184723038247817
0.2,3.1526876368e-07,0.25001891375,0.59882210507,2.1316099335e-07,0.99999997147,5.063544587e-05,0.98529455101,4.7680798167e-49,0.000202935196,1.9000000177869871,0.3000492900975434,1.5999507276894438
0.21000000000000002,2.8367395997e-07,0.26584290478,0.59112531067,2.0244573807e-07,0.99999997293,5.500125808e-05,0.98526719159,7.4726470508e-49,0.00020331275613,1.9000000145883769,0.3190397621944584,1.5809602523939184
0.22,2.5668929887e-07,0.28207263867,0.58413941365,1.9271416706e-07,0.99999997424,5.967905721e-05,0.98524139028,1.1694146186399999e-48,0.00020366881412,1.900000011956472,0.3385171689355273,1.5614828430209446
0.23,2.3342401809e-07,0.29872392368,0.5777638841,1.8383820241e-07,0.99999997543,6.4703495544e-05,0.98521715104,1.82738143543e-48,0.0002040033156,1.9000000097737972,0.3585004819088093,1.541499527864988
0.24000000000000002,2.1319893961e-07,0.31581340004,0.57191866849,1.7571108977e-07,0.99999997651,7.0114559936e-05,0.98519447787,2.85141203006e-48,0.00020431620545,1.9000000079434942,0.37900967115604256,1.5209903367874515
