mask,£kA,£kB,£kA1,£kB1,£kA0,£kB0,S,I,D,Un,Uphi,Un-Uphi
0.1,3.5737103673e-08,0.11111955455,0.44238636418,6.8104464773e-08,2.3571794243e-07,0.14377318372,0.86623472378,1.0077372788e-35,0.0018459608118,1.2000001931804478,0.22280148708570635,0.9771987060947415
0.11,3.2780056478e-08,0.12360489769,0.44694873181,6.3517734697e-08,2.1966646781e-07,0.1622058435,0.8717154715,1.2051509438e-35,0.0017703264933,1.2000001796427628,0.24783536356484426,0.9521648160779186
0.12000000000000001,3.0418799381e-08,0.1363739986,0.44870602406,5.9828990311e-08,2.0658146483e-07,0.18160869168,0.8770222164,1.4290939283e-35,0.0016970934137,1.2000001686300004,0.27343819170238237,0.926561976927618
0.13,2.8604323849e-08,0.14943664203,0.44600374963,5.684020107e-08,1.9579534648e-07,0.20206039625,0.88215722807,1.6805577187e-35,0.0016262302526,1.2000001596312924,0.2996295905378059,0.9003705690934865
0.14,2.7011286884e-08,0.16280306784,0.44727866423,5.4410720963e-08,1.8683193598e-07,0.22364836647,0.88712285562,1.9600535421e-35,0.0015577045924,1.200000152106567,0.326430091583542,0.873570060523025
0.15000000000000002,2.5693764405e-08,0.17648399777,0.44802882716,5.2438240323e-08,1.7934369585e-07,0.24647000183,0.8919215244,2.2675305508e-35,0.0014914829633,1.2000001458285283,0.35386119257856574,0.8461389532499626
0.16,2.4612351783e-08,0.19049066409,0.4487830208,5.0846899309e-08,1.7307113813e-07,0.27063416122,0.8965557327,2.6023053347e-35,0.0014275308888,1.2000001405875609,0.38194541493180534,0.8180547256557555
0.17,2.3595840244e-08,0.20483484044,0.45607974679,4.9579607429e-08,1.6781708514e-07,0.29626289927,0.90102804837,2.9630072483e-35,0.0013658129325,1.200000136141362,0.4107063654579426,0.7892937706834193
0.18,2.2925610175e-08,0.21952887467,0.45354448434,4.8592930558e-08,1.634297472e-07,0.3234935284,0.90534110534,3.3475436247e-35,0.0013062927463,1.2000001325283043,0.4401688024406344,0.7598313300876699
0.19,2.2398641055e-08,0.23458572453,0.45090438416,4.7853604687e-08,1.5979052321e-07,0.35248107979,0.90949760013,3.7530882715e-35,0.0012489331182,1.2000001295523415,0.47035870689419673,0.7296414226581447
0.2,2.193512587e-08,0.2500189956,0.45143276569,4.7336146714e-08,1.5680601167e-07,0.38340125676,0.91350028826,4.1760956975e-35,0.001193696022,1.2000001270992406,0.5013033588301481,0.6986967682690925
0.21000000000000002,2.1581991139e-08,0.26584298236,0.45195289301,4.7021101987e-08,1.5440226707e-07,0.41645399919,0.91735198066,4.6123423829e-35,0.0011405426669,1.200000125139787,0.5330314195527529,0.666968705587034
0.22,2.1332836578e-08,0.28207271232,0.4522979677,4.6893843632e-08,1.5252040496e-07,0.45186781169,0.92105554003,5.0569951171e-35,0.0010894335476,1.2000001236270266,0.5655730201350437,0.6344271034919828
0.23,2.1203177112e-08,0.29872399364,0.45259161952,4.6943685286e-08,1.5111353724e-07,0.48990505383,0.92461387718,5.5047050854e-35,0.001040328495,1.2000001225409738,0.5989598569244792,0.6010402656164946
0.24000000000000002,2.1150931614e-08,0.31581346653,0.45285493292,4.7163244511e-08,1.5014444619e-07,0.53086845108,0.92802994736,5.9497250648e-35,0.0009931867265,1.200000121822423,0.6332252945060669,0.5667748273163561
0.25,2.109106043e-08,0.33335865865,0.45325011535,4.7547988092e-08,1.4958382934e-07,0.57510916868,0.93130674658,6.3860458719e-35,0.00094796689725,1.2000001213843257,0.6684044768921696,0.531595644492156
0.26,2.1208803e-08,0.35137804506,0.45344982049,4.8095920048e-08,1.4940907326e-07,0.6230369041,0.93444730794,6.8075471784e-35,0.0009046271504,1.2000001213559366,0.7045344477679453,0.4954656735879913
0.27,2.1363606446e-08,0.36989111323,0.45359918816,4.880737122e-08,1.4960318349e-07,0.67513261231,0.93745469798,7.2081570295e-35,0.00086312516791,1.2000001216148535,0.7416542806220258,0.4583458409928277
0.28,2.1626717099e-08,0.3889184332,0.44971165643,4.9684606013e-08,1.5015275337e-07,0.73196470224,0.94033201299,7.5820139201e-35,0.00082341822078,1.2000001221907843,0.7798052196656321,0.42019490252515224
0.29000000000000004,2.1950174263e-08,0.40848173394,0.44373481629,5.0732692179e-08,1.5105120692e-07,0.79420986094,0.94308237543,7.9236251281e-35,0.00078546321902,1.2000001230489756,0.8190308327543634,0.38096929029461224
0.30000000000000004,2.2352245015e-08,0.42860398602,0.45376296822,5.1959158371e-08,1.522985196e-07,0.86268012586,0.94570893036,8.2280151786e-35,0.00074921676109,1.200000124284057,0.8593771773572987,0.3406229469267583
0.31,2.2813753432e-08,0.44930949168,0.45382573702,5.3372073989e-08,1.5388820961e-07,0.93835850642,0.94821484181,8.4908587985e-35,0.000714635183,1.2000001257620654,0.9008929808328937,0.2991071449291717
0.32,3.7014197349e-08,0.47062397629,0.45448405842,9.6391035772e-08,0.025250813787,0.99999986252,0.9504929717,8.7073638681e-35,0.00068319699049,1.2176755982710636,0.9353119462727554,0.28236365199830826
0.33,3.7536693211e-08,0.49257472052,0.45450672501,9.8398219492e-08,0.11994778559,0.99999984644,0.95236104049,8.8848992332e-35,0.00065741764126,1.2839634764491108,0.9462873154095369,0.3376761610395739
0.33999999999999997,3.8129948594e-08,0.51519063871,0.45470620486,1.0065179832e-07,0.20907434714,0.9999998278,0.95415520937,9.0329993432e-35,0.00063265811074,1.3463520675761529,0.9575952712870524,0.38875679628910054
