mask,£kA,£kB,£kA1,£kB1,£kA0,£kB0,S,I,D,Un,Uphi,Un-Uphi
0.1,3.5279620305e-08,0.11111955469,0.44117940268,6.7231383536e-08,2.3311515538e-07,0.1250201554,0.86446792108,9.5318230484e-36,0.0018703426891,0.9500000495112974,0.07222918384710461,0.8777708656641927
0.11,3.2331592046e-08,0.12360489785,0.44386007529,6.259196555e-08,2.1694213054e-07,0.14104855504,0.86983764261,1.1371897419e-35,0.0017962405319,0.9500000459570149,0.08034482285600204,0.8696552231010128
0.12000000000000001,2.9964274407e-08,0.13637399879,0.44508623564,5.8846497219e-08,2.0372770644e-07,0.15792059677,0.87504429108,1.3459986936e-35,0.001724388783,0.9500000430611435,0.0886449081885117,0.8613551348726318
0.13,2.791721433e-08,0.14943664226,0.45049032671,5.5796562844e-08,1.9280371939e-07,0.1757046875,0.88008985269,1.5807155392e-35,0.0016547600329,0.9500000406508449,0.09713580006026759,0.8528642405905773
0.14,2.6330160302e-08,0.16280306811,0.45081827236,5.3301090462e-08,1.8369267852e-07,0.19447683533,0.88497638483,1.8420575028e-35,0.0015873258893,0.9500000386640097,0.10582415451197079,0.8441758841520389
0.15000000000000002,2.506674138e-08,0.17648399805,0.44578123979,5.1263080355e-08,1.7623877903e-07,0.21432173539,0.88970601346,2.1302782982e-35,0.0015220570142,0.9500000370405165,0.11471694079149343,0.8352830962490231
0.16,2.3955018639e-08,0.19049066441,0.44911512642,4.9588690499e-08,1.6961170265e-07,0.23533404776,0.89428093031,2.4451010753e-35,0.0014589231618,0.9500000356098545,0.12382146007974214,0.8261785755301123
0.17,2.302223453e-08,0.20483484077,0.43760589569,4.8241080614e-08,1.6427368399e-07,0.25761990665,0.89870339003,2.7856623641e-35,0.0013978932176,0.95000003443163,0.13314536532595156,0.8168546691056784
0.18,2.2254727997e-08,0.21952887506,0.44865546753,4.7163635473e-08,1.5970229082e-07,0.28129871436,0.90297570738,3.1504705409e-35,0.0013389352381,0.9500000334544494,0.14269668287831586,0.8073033505761336
0.19,2.1621252967e-08,0.23458572498,0.45138275736,4.6321976555e-08,1.557635956e-07,0.30650528059,0.90710025424,3.5373819256e-35,0.0012820164914,0.9500000326113835,0.15248383540702812,0.7975161972043554
0.2,2.1119570037e-08,0.25001899611,0.45187832212,4.5696877926e-08,1.525632971e-07,0.33339239075,0.91107945664,3.9435970387e-35,0.0012271034983,0.9500000319276535,0.1625156667066995,0.787484365220954
0.21000000000000002,2.0719007145e-08,0.26584298292,0.4523635808,4.5264389475e-08,1.4992850817e-07,0.36213390563,0.91491579175,4.3656787468e-35,0.0011741620739,0.9500000313678911,0.17280146837830992,0.7771985629895812
0.22,2.0419052025e-08,0.28207271294,0.45279020625,4.5008761597e-08,1.4779899208e-07,0.39292852492,0.9186117848,4.7995931052e-35,0.0011231573698,0.9500000309213871,0.18335100851454025,0.7666490224068468
0.23,2.0209285102e-08,0.29872399434,0.45316195111,4.4918028591e-08,1.4612635821e-07,0.42600438736,0.92217000603,5.2407726937e-35,0.0010740539168,0.9500000305771052,0.1941745626356595,0.7558254679414458
0.24000000000000002,2.0083588442e-08,0.31581346731,0.4534559673,4.4983346758e-08,1.4487172883e-07,0.46162473251,0.92559306758,5.6842011855e-35,0.0010268156675,0.9500000303267105,0.20528294708206132,0.7447170832446492
0.25,2.0035016374e-08,0.33335865949,0.45373249954,4.5198509531e-08,1.4400398114e-07,0.50009492146,0.92888362038,6.1245168707e-35,0.0009814060388,0.9500000301631017,0.2166875550553748,0.7333124751077269
