mask,£kA,£kB,£kA1,£kB1,£kA0,£kB0,S,I,D,Un,Uphi,Un-Uphi
0.1,4.6827941743e-08,0.11111955346,0.43036209591,6.7138280494e-08,0.20002301239,0.10001707115,0.84621894421,4.9122076836e-31,0.00212217857,1.340016138926487,0.1955757188498796,1.1444404200766074
0.11,4.2910525581e-08,0.12360489664,0.43218732663,6.2270135838e-08,0.22002527861,0.11001904795,0.85167568965,6.2485695204e-31,0.0020468754828,1.3540177221644645,0.21581998593717508,1.1381977362272895
0.12000000000000001,3.9814907242e-08,0.1363739976,0.43312556879,5.8311747805e-08,0.24002754728,0.12002108876,0.85698191722,7.8783035114e-31,0.0019736495424,1.3680193077257337,0.23620613187308726,1.1318131758526464
0.13,3.7201001275e-08,0.14943664109,0.43436498603,5.5058716395e-08,0.26002981793,0.13002319874,0.86213927035,9.8466400433e-31,0.0019024780691,1.3820208950521047,0.2567390490131197,1.1252818460389848
0.14,3.501128445e-08,0.16280306697,0.4355598075,5.2365420641e-08,0.28003209012,0.14002538366,0.867149466,1.2201195386e-30,0.0018333373692,1.3960224837788027,0.2774238572916009,1.1185986264872017
0.15000000000000002,3.3164259055e-08,0.17648399697,0.43663771303,5.0125456169e-08,0.30003436353,0.15002764994,0.87201429172,1.4991048798e-30,0.0017662027743,1.4100240736168423,0.29826591756906917,1.1117581560477732
0.16,3.1615947204e-08,0.19049066337,0.43766991471,4.8259411545e-08,0.32003663795,0.16003000476,0.87673560268,1.8265598899e-30,0.001701048683,1.4240256643808498,0.31927084597850786,1.104754818402342
0.17,3.0304256025e-08,0.20483483978,0.43853978917,4.670696183e-08,0.3400389132,0.17003245616,0.88131531865,2.2073214303e-30,0.0016378486027,1.4380272558976652,0.3404445293209892,1.097582726576676
0.18,2.9181732421e-08,0.21952887413,0.43942426897,4.5421600771e-08,0.36004118916,0.18003501319,0.8857554208,2.6459706584e-30,0.001576575193,1.452028848049207,0.36179314155856424,1.0902357064906427
0.19,2.8203232021e-08,0.23458572412,0.44027854411,4.4367039817e-08,0.38004346571,0.19003768607,0.89005794853,3.1466666742e-30,0.0015172003102,1.4660304407198002,0.3833231615368007,1.0827072791829995
0.2,2.7380723555e-08,0.25001899534,0.44114457,4.3514690841e-08,0.40004574278,0.20004048637,0.89422499623,3.7129718559e-30,0.001459695052,1.4800320338607986,0.4050413920422132,1.0749906418185855
