mask,£kA,£kB,£kA1,£kB1,£kA0,£kB0,S,I,D,Un,Uphi,Un-Uphi
0.1,4.5163554864e-08,0.11121948837,0.43413653326,6.7874791515e-08,0.20029300331,0.10021967884,0.87719430066,3.3066532449e-46,0.0019324028192,1.3402051315207573,0.19581469575816654,1.1443904357625907
0.11,4.1676417221e-08,0.12371606005,0.43597844731,6.3470419383e-08,0.22032227312,0.11024509465,0.88199799843,3.9869650642e-46,0.0018568144779,1.3542256175639258,0.21608347776050593,1.13814213980342
0.12000000000000001,3.8926702916e-08,0.13649664468,0.4367891567,5.9936190431e-08,0.24035154502,0.12027133499,0.88664196297,4.7647462326e-46,0.0017837396107,1.368246105613979,0.23649426617109426,1.1317518394428847
0.13,3.6633709936e-08,0.14957103584,0.43798127839,5.7079953546e-08,0.2603808186,0.13029846672,0.89112927884,5.6449322809e-46,0.0017131296807,1.382266595195472,0.25705195777452966,1.1252146374209424
0.14,3.4736141507e-08,0.16294948259,0.43913469834,5.476512871e-08,0.28041009349,0.14032656419,0.89546305645,6.6309661407e-46,0.0016449357441,1.3962870859908127,0.2777616771059148,1.118525408884898
0.15000000000000002,3.3167133461e-08,0.17664271629,0.44006974699,5.2892244914e-08,0.30043936944,0.15035571022,0.89964642826,7.7245095386e-46,0.0015791085103,1.4103075777688647,0.2986287898265249,1.1116787879423398
0.16,3.1852017133e-08,0.19066197934,0.44110877551,5.1387407917e-08,0.32046864626,0.1603859974,0.90368254511,8.9251875885e-46,0.0015155983995,1.4243280703431518,0.3196589171416321,1.1046691532015198
0.17,3.0777217489e-08,0.20501905592,0.44186337808,5.0194845183e-08,0.34049792379,0.17041752954,0.90757457253,1.0230380715e-45,0.0014543556006,1.4383485635812123,0.3408579511272232,1.0974906124539892
0.18,2.9855401603e-08,0.21972630508,0.44269862024,4.927194324e-08,0.36052720194,0.18045042342,0.9113256872,1.1635076676e-45,0.001395330127,1.452369057365591,0.3622320713035297,1.0901369860620613
0.19,2.9104789535e-08,0.23479669616,0.44346645857,4.858586025e-08,0.38055648061,0.19048481094,0.91493907345,1.3131793282e-45,0.0013384718718,1.466389551628541,0.3837877623373979,1.082601789291143
0.2,2.8614111728e-08,0.25024384695,0.44007759083,4.8111163321e-08,0.4005857597,0.20052084161,0.91841791986,1.4710579523e-45,0.0012837306615,1.4804100463146799,0.4055318331162079,1.074878213198472
0.21000000000000002,2.8220394099e-08,0.26608206481,0.43794394451,4.7828150247e-08,0.42061503921,0.2105586855,0.92176541592,1.635909939e-45,0.001231056308,1.4944305413641203,0.427471437306179,1.0669591040579414
0.22,2.7961845359e-08,0.28232639077,0.43512412281,4.7721641555e-08,0.44064431906,0.22059853705,0.92498474879,1.806279893e-45,0.0011803986599,1.5084510367238066,0.4496140954114877,1.0588369413123189
0.23,2.7752815565e-08,0.29899264725,0.43452122304,4.7780084747e-08,0.46067359925,0.2306406195,0.92807910018,1.9805153181e-45,0.0011317076513,1.5224715323643156,0.47196771863579934,1.0505038137285163
0.24000000000000002,2.7651137281e-08,0.31609748937,0.43301868467,4.7994924171e-08,0.48070287972,0.24068519051,0.93105164331,2.1567985919e-45,0.0010849333505,1.536492028250101,0.49454063452108915,1.0419513937290117
0.25,2.7617050599e-08,0.33365846056,0.43281344702,4.836010268e-08,0.50073216046,0.25073254898,0.93390553995,2.3331851732e-45,0.0010400260055,1.5505125243644198,0.5173416147716853,1.0331709095927346
0.26,2.768271005e-08,0.35169405253,0.4314904082,4.8871706934e-08,0.52076144145,0.26078304369,0.93664393757,2.5076467098e-45,0.00099693608941,1.5645330206906003,0.5403799052300668,1.0241531154605334
0.27,2.7512314203e-08,0.37022377037,0.44754294149,4.9527725215e-08,0.54079072269,0.2708370839,0.93926996662,2.6781175016e-45,0.00095561434311,1.578553517189325,0.5636652583910364,1.0148882587982886
0.28,2.8092862163e-08,0.38926820226,0.42760503229,5.0327832392e-08,0.56082000408,0.28089515431,0.9417867379,2.8425426365e-45,0.000916011817,1.592574013895006,0.5872079684279456,1.0053660454670603
0.29000000000000004,2.7989019153e-08,0.40884909724,0.4481586824,5.1273283237e-08,0.58084928573,0.29095783023,0.94419734001,2.9989260748e-45,0.00087807991045,1.6065945107318365,0.6110189096844958,0.9955756010473407
0.30000000000000004,2.8342494432e-08,0.42898944614,0.44843108855,5.2366815999e-08,0.60087856754,0.30102580421,0.94650483693,3.1453769834e-45,0.00084177041036,1.620615007738399,0.635109577692635,0.985505430045764
0.31,2.8687747835e-08,0.4497135732,0.4530031938,5.3612585838e-08,0.62090784955,0.31109991341,0.94871226572,3.2801527543e-45,0.00080703552722,1.6346355048968384,0.6594921344717863,0.9751433704250521
0.32,2.9316788822e-08,0.47104723322,0.45228884691,5.501652404e-08,0.64093713199,0.32118118172,0.9508226343,3.401697306e-45,0.00077382793011,1.6486560024135304,0.684179457343001,0.9644765450705294
0.33,2.992356015e-08,0.49301771884,0.45117798548,5.6573576468e-08,0.66096641427,0.33127087458,0.95283891935,3.5086735252e-45,0.0007421007795,1.6626764997907344,0.7091851927598608,0.9534913070308736
0.33999999999999997,3.0622494078e-08,0.51565397661,0.45087286246,5.8299548701e-08,0.68099569648,0.34137057395,0.95476406433,3.59998897e-45,0.00071180775884,1.6766969971354655,0.7345238139410099,0.9421731831944556
0.35,3.1280498815e-08,0.53898673461,0.44945553562,6.0253719594e-08,0.70102497942,0.35148228388,0.95660097758,3.6748142686e-45,0.00068290310408,1.6907174949522998,0.7602106848199687,0.9305068101323312
0.36,3.2115044165e-08,0.56304864107,0.44963102164,6.2375845304e-08,0.72105426234,0.36160858265,0.95835253052,3.7325939458e-45,0.00065534163211,1.7047379927968322,0.786262129420895,0.9184758633759372
0.37,3.3039199753e-08,0.58787441741,0.44982634892,6.4707671958e-08,0.74108354546,0.37175284318,0.96002155601,3.7730497119e-45,0.00062907876656,1.7187584907824551,0.8126955084525296,0.9060629823299255
0.38,3.4057412664e-08,0.61350102507,0.44996358045,6.7265095969e-08,0.76111282877,0.38191956494,0.96161084676,3.7961765185e-45,0.000604070563,1.7327789888990341,0.8395293025859561,0.893249686313078
0.39,3.5178216965e-08,0.63996784917,0.45012343871,7.0066284108e-08,0.78114211228,0.39211488721,0.96312315385,3.8022319239e-45,0.00058027373198,1.7467994871522292,0.8667832043223093,0.88001628282992
0.4,3.6406782415e-08,0.66731690051,0.45027959497,7.3131930983e-08,0.80117139601,0.4023474109,0.96456118535,3.7917195107e-45,0.00055764566064,1.760819985552743,0.8944782189834268,0.8663417665693163
0.41000000000000003,3.7753191434e-08,0.6955930381,0.45044121352,7.6485569301e-08,0.82120067995,0.41262956997,0.96592760507,3.7653672412e-45,0.00053614443282,1.77484048409129,0.9226367760098357,0.8522037080814542
0.42000000000000004,3.9206190168e-08,0.72484421464,0.45065729586,8.0153887843e-08,0.84122996411,0.42298003423,0.96722503136,3.7241017408e-45,0.00051572884755,1.7888609827680488,0.9512828516449251,0.8375781311231237
0.43000000000000005,4.0805945415e-08,0.75512174793,0.45068510649,8.4167216477e-08,0.86125924853,0.43342817935,0.96845603605,3.6690195469e-45,0.00049635843614,1.8028814816121395,0.9804421046972764,0.822439376914863
0.44000000000000006,4.2563678188e-08,0.78648062133,0.45091895363,8.8559930606e-08,0.88128853322,0.44402304452,0.9696231434,3.6013563707e-45,0.00047799347782,1.8169019806295112,1.0101420267328844,0.8067599538966268
0.45000000000000007,4.446881921e-08,0.81897981702,0.4511265107,9.3371046242e-08,0.90131781819,0.45485309219,0.97072882929,3.5224553804e-45,0.00046059501391,1.8309224798170085,1.0404121087018772,0.7905103711151313
0.45999999999999996,4.6549962421e-08,0.85268268616,0.45121433506,9.864484481e-08,0.92134710346,0.4660957897,0.97177552032,3.4337354507e-45,0.0004441248607,1.8449429791857046,1.0712840260260663,0.7736589531596383
0.47,4.8823367746e-08,0.88765736117,0.45133173291,1.044316125e-07,0.94137638906,0.4781671652,0.9727655931,3.3366602267e-45,0.0004285456209,1.8589634787526483,1.1027918447421978,0.7561716340104505
0.48,5.137220957e-08,0.92397721528,0.45124804627,1.1091478812e-07,0.96140567518,0.49232556262,0.97370137364,3.2327087359e-45,0.00041382069396,1.8729839786501947,1.1349722510139966,0.7380117276361982
0.49,5.4116128134e-08,0.96172137689,0.45157614564,1.1778047785e-07,0.98143496149,0.51498846847,0.97458513674,3.1233481514e-45,0.00039991428468,1.8870044786337778,1.1678648095657922,0.7191396690679857
0.5,0.00097535068927,0.99999989838,0.99975744828,0.00097469771416,0.99999994587,0.5357911025,0.9753972361,3.0157051841e-45,0.00038713553672,1.9001949849692135,1.2001948556919864,0.7000001292772271
0.51,0.040190231687,0.99999994294,0.53484694625,0.021490725099,0.99999983888,0.55485962302,0.97572468628,2.9952540742e-45,0.000381982961,1.9042990162861895,1.2042980984647509,0.7000009178214386
0.52,0.077897634024,0.99999994035,0.53306993827,0.04151991834,0.99999983149,0.55495645557,0.976046057,2.9744443211e-45,0.00037692604845,1.9083048686236816,1.2083039347648743,0.7000009338588074
0.53,0.11418211518,0.99999993759,0.53908751529,0.061549106619,0.99999982365,0.55507045045,0.97636269462,2.9528641066e-45,0.00037194361329,1.9123107212027997,1.2123097699129068,0.7000009512898928
0.54,0.14912272681,0.99999993467,0.54708910289,0.081578291148,0.99999981543,0.55530899356,0.97667463302,2.9305397729e-45,0.00036703512252,1.9163165738337058,1.2163156041625338,0.700000969671172
0.55,0.18279277035,0.99999993163,0.5558900721,0.10160747023,0.99999980668,0.55533952263,0.97698190596,2.9074981705e-45,0.0003622000449,1.920322426670093,1.2203214371906137,0.7000009894794792
0.56,0.21526031214,0.9999999284,0.56509234593,0.12163664382,0.99999979741,0.55541864129,0.97728454709,2.8837666139e-45,0.0003574378509,1.924328279668274,1.2243272689397453,0.7000010107285286
0.5700000000000001,0.24658864174,0.99999992498,0.57452453298,0.14166581155,0.99999978758,0.55550557433,0.97758258994,2.8593728378e-45,0.0003527480128,1.9283341328190204,1.2283330993322659,0.7000010334867546
0.58,0.27683668391,0.99999992136,0.58410067751,0.16169497298,0.99999977714,0.55559366885,0.97787606794,2.8343449524e-45,0.0003481300047,1.9323399861113666,1.2323389282691817,0.7000010578421849
0.59,0.30605936852,0.99999991753,0.59377292326,0.18172412761,0.99999976605,0.55565658565,0.97816501439,2.8087114003e-45,0.00034358330255,1.9363458395442585,1.2363447556381413,0.7000010839061173
0.6,0.33430796344,0.99999991346,0.60351250998,0.20175327491,0.99999975424,0.55571369388,0.97844946247,2.782500912e-45,0.00033910738423,1.9403516931040625,1.2403505813060782,0.7000011117979843
0.61,0.36163037373,0.999999909,0.61330112177,0.22178240947,0.99999974133,0.55580370902,0.97872944524,2.7557424636e-45,0.00033470172961,1.9443575471859929,1.2443564040622563,0.7000011431237365
0.62,0.38807141768,0.99999990456,0.62312650202,0.24181154508,0.99999972825,0.55580482631,0.97900499565,2.7284652283e-45,0.0003303658203,1.9483634006024615,1.24836222700451,0.7000011735979514
0.63,0.41367306226,0.99999989964,0.63298020501,0.26184066643,0.99999971393,0.55585000814,0.97927614647,2.7006985438e-45,0.0003260991403,1.9523692545399067,1.2523680466479088,0.7000012078919979
